id	g	t	state	sequence_class	y1	y2
82	21	2	2	1	1.9290093517009	2.31893303641386
83	21	3	2	1	2.55562384160843	0.421345842831111
84	21	4	1	1	-0.199149827939761	-0.171758301894214
85	22	1	2	2	2.16073551774102	0.298493206670206
86	22	2	2	2	1.15423017158996	1.67608711919561
87	22	3	1	2	0.0349709975942329	1.0690565737448
88	22	4	1	2	0.0338528132972916	-0.963198453198152
89	23	1	2	2	2.38238505381901	-0.147760148659358
90	23	2	1	2	-0.0211479406592656	1.49418176772034
91	23	3	1	2	-0.208989068322554	1.1055328800732
92	23	4	1	2	-0.336679219121369	-0.246505715049411
93	24	1	1	1	-0.545436002626168	1.15564077822723
94	24	2	1	1	0.127576649312904	-1.40391535957344
95	24	3	1	1	-1.43274309285031	0.404606487140073
96	24	4	1	1	2.26128556391192	0.180874448689989
97	25	1	2	1	1.08458880048141	0.973192502803795
98	25	2	2	1	0.315649122913298	1.20929045645445
99	25	3	2	1	0.767692162223702	0.25070009273436
100	25	4	2	1	0.364288903713123	2.05585091687177
101	26	1	1	1	-0.588755987414595	0.3235208997133
102	26	2	1	1	0.303054572509673	0.56452858585721
103	26	3	2	1	0.287007593569058	3.21822986869265
104	26	4	2	1	1.96850672569728	2.46686940936585
105	27	1	1	1	0.13374869692166	-0.658221508965348
106	27	2	1	1	0.0196521353421003	-1.13404754537286
107	27	3	1	1	-0.349183718467846	-0.246091227193271
108	27	4	1	1	0.416163143361488	1.16373746991313
109	28	1	2	2	3.14049484559055	-0.526495552675249
110	28	2	2	2	0.369563964771628	1.18175000544011
111	28	3	2	2	2.17048236374911	0.000647956351912171
112	28	4	2	2	3.25066672044902	2.97364365184858
113	29	1	2	2	2.6448047971105	0.469228566967427
114	29	2	1	2	0.843475759338257	1.42191250281483
115	29	3	2	2	0.720380393528292	2.08653346850145
116	29	4	1	2	-0.250799483692428	0.0617382602403509
117	30	1	2	2	-0.451669240880181	-0.587238450513792
118	30	2	1	2	0.501039068942273	-0.26569935607057
119	30	3	1	2	0.380302432225023	0.320694715236136
120	30	4	1	2	-1.29884743771756	0.567552243620791
121	31	1	1	2	1.2176966828317	-0.388607605068426
122	31	2	1	2	0.853197464899125	-0.573743368524036
123	31	3	2	2	2.5549584722341	1.43735612280053
124	31	4	2	2	2.20842913353367	2.10562136983494
125	32	1	2	2	0.610765527952542	0.0690873936381295
126	32	2	2	2	2.50861447107411	1.72940376270668
127	32	3	1	2	0.517420526470508	-0.0184909362733949
128	32	4	1	2	-1.28183957723535	-0.15762139532644
129	33	1	2	1	1.43830624615446	2.5680415050611
130	33	2	2	1	1.27873809165943	1.53232010671494
131	33	3	2	1	1.281024239245	2.25076849038872
132	33	4	2	1	0.602130407062278	2.02697838213611
133	34	1	1	1	1.49763546159821	0.0577350507641398
134	34	2	1	1	-1.65374029978977	-0.456814802795868
135	34	3	1	1	-0.104083633651075	-0.26217412785069
136	34	4	2	1	2.430481207379	1.14280597889644
137	35	1	1	2	1.0513334368228	0.341631146072279
138	35	2	1	2	0.988827483561578	0.807952481112828
139	35	3	2	2	1.71730920518901	2.63820778601945
140	35	4	1	2	1.1664051882291	-1.15596227864523
141	36	1	1	2	0.184936371561086	-0.724361488767563
142	36	2	1	2	-0.315136853248956	0.542008754578254
143	36	3	1	2	1.3348990186323	0.473469155824457
144	36	4	1	2	-0.361694420063243	-2.37848240876743
145	37	1	2	1	1.75442781547558	1.92998821303521
146	37	2	2	1	1.19460732745281	1.50330638913834
147	37	3	2	1	1.92275295993649	1.4348469982564
148	37	4	2	1	1.70312790093625	0.198894276792571
149	38	1	2	2	3.18924064963603	1.75832678290126
150	38	2	2	2	2.63210982847422	0.709115318400888
151	38	3	1	2	0.0838356127967723	-0.30631021595634
152	38	4	1	2	0.274641478374721	-0.565136134746299
153	39	1	1	1	1.18439333884626	-1.71188535529779
154	39	2	2	1	0.16802524892149	2.60367176702224
155	39	3	2	1	1.02275942424183	2.54088271198932
156	39	4	1	1	-1.65133242501131	-0.601788677014808
157	40	1	2	2	1.72431507360475	1.93245527913684
158	40	2	1	2	-0.64468775445649	-0.0306471814049669
159	40	3	2	2	2.6902236380049	-0.00849531197346631
160	40	4	2	2	1.57361568997506	2.38852075808371
161	41	1	2	1	1.30156689040991	0.955762984435662
162	41	2	2	1	1.64007588532173	2.24317223523847
163	41	3	2	1	1.6867243781564	0.847465301444782
164	41	4	2	1	1.73159491159917	0.285065490654863
165	42	1	1	1	-0.438564586769909	-0.88747124187649
166	42	2	1	1	-0.675825594243627	0.172343687384166
167	42	3	1	1	0.231687875017117	-0.537533671261291
168	42	4	1	1	-1.11316232366068	0.851176955863237
169	43	1	1	1	-0.0443132029183914	-0.71944853189539
170	43	2	1	1	-1.09760561852449	0.171086132595766
171	43	3	1	1	-0.230115925404398	-0.320978434903005
172	43	4	1	1	-1.67770799633348	0.690638326853925
173	44	1	1	2	-1.34919821514638	0.280036839586785
174	44	2	2	2	2.06312308663261	1.59452148327902
175	44	3	1	2	1.53643991385963	-0.520948245918164
176	44	4	2	2	3.28123163645067	0.494135712184735
177	45	1	2	1	2.65761465875028	0.284545780572935
178	45	2	2	1	2.21169988608612	0.364384460322969
179	45	3	2	1	0.331012101701762	0.579022540384563
180	45	4	2	1	0.00481811616861227	-0.208424607173373
181	46	1	1	1	0.0354651750184439	-1.1619308791003
182	46	2	1	1	0.311864595893393	-0.378566328707087
183	46	3	1	1	0.353267703269031	-0.872867155443797
184	46	4	1	1	0.176006596744189	-2.19022565116275
185	47	1	1	2	-0.480224898557794	-2.44608782255786
186	47	2	1	2	1.41277568060877	0.102887226510649
187	47	3	1	2	1.23255656968203	-2.29944066619365
188	47	4	2	2	2.98431558778608	1.53047923838944
189	48	1	2	1	2.38990410073345	2.29374059609419
190	48	2	2	1	3.51789649678065	3.08258462653389
191	48	3	2	1	2.71262017682788	2.24380119354581
192	48	4	2	1	2.1574893366556	0.922574479289502
193	49	1	1	2	-0.297377688957829	-0.0669148011069914
194	49	2	2	2	1.22037729952071	1.3165631114008
195	49	3	2	2	3.50939782013619	-0.416809046589044
196	49	4	2	2	1.55949892090248	1.64496864992052
197	50	1	1	2	1.01063027176862	-1.17410996296637
198	50	2	2	2	2.2570122564881	1.22908588341214
199	50	3	1	2	1.17315248799381	1.99162027090233
200	50	4	1	2	-2.34428768804404	-0.0729402715703477
201	51	1	2	1	2.32087868936558	1.22090965399319
202	51	2	2	1	3.86249403221582	2.82762576117133
203	51	3	1	1	-0.88277474700728	1.37389083634652
204	51	4	1	1	1.80514198502871	1.10583712101829
205	52	1	1	1	-0.5705094928403	-0.185933051021214
206	52	2	2	1	2.25252206681414	1.59176318543871
207	52	3	2	1	1.34876608140717	1.14667696198129
208	52	4	2	1	1.31965241962975	1.96244693623881
209	53	1	2	2	1.37312376272375	1.79252393612017
210	53	2	2	2	0.817369448392777	2.18497652622374
211	53	3	1	2	1.81973620068998	1.36035365239348
212	53	4	1	2	0.21043213375999	-0.786654778297686
213	54	1	1	1	-1.97325135860099	-1.40136638266424
214	54	2	1	1	0.268418462706469	-0.739029976523016
215	54	3	2	1	2.04998641114469	1.6554588421341
216	54	4	2	1	-0.198983059312566	1.6106848601457
217	55	1	1	1	1.40020556630946	-0.545127969124123
218	55	2	1	1	0.919832191179735	-1.39781939112544
219	55	3	1	1	-0.821086864189102	-0.546690288856698
220	55	4	1	1	1.59033679321141	-0.252531716911459
221	56	1	2	1	1.51590279869123	3.38824842135057
222	56	2	2	1	1.69564009684693	1.63265899736591
223	56	3	2	1	0.742249847538873	3.83021530784932
224	56	4	2	1	3.26190703478355	2.9275204797535
225	57	1	1	2	-2.27726461362191	-0.171507571054181
226	57	2	2	2	2.30237850009069	-1.08200403752932
227	57	3	2	2	1.48007275263972	1.45274922564761
228	57	4	1	2	-0.530998069732156	0.820790175322468
229	58	1	1	2	0.608509610778308	-0.732461405792771
230	58	2	1	2	0.588215577739541	-0.196364436059101
231	58	3	1	2	-0.226403793151252	-0.122449182892081
232	58	4	2	2	1.49987237366826	2.06141627000336
233	59	1	2	2	3.11512935192892	0.640526938145171
234	59	2	2	2	3.2075265815762	0.915704143003052
235	59	3	2	2	4.18435183449666	0.687004564725155
236	59	4	2	2	2.46863244959732	2.06512951659112
237	60	1	2	2	2.89809759533795	0.456753134225778
238	60	2	1	2	-0.820428950114839	0.595567156097346
239	60	3	1	2	1.28776822470046	-0.620665616324086
240	60	4	1	2	-1.51037410261148	-2.08706397082894
241	61	1	1	2	0.780630090374216	0.412937279032805
242	61	2	1	2	1.38779098851248	0.0364782956046037
243	61	3	1	2	-0.226941128312402	-0.292410559165133
244	61	4	2	2	1.63024008487322	2.58948750286306
245	62	1	1	2	0.688047137824105	-1.10875389538017
246	62	2	1	2	0.678377216211461	-1.15975707042444
247	62	3	2	2	2.18959031590283	3.0635132435403
248	62	4	2	2	3.34246129605219	0.44227230465636
249	63	1	2	2	5.07791397287703	1.45412756940988
250	63	2	1	2	-0.231232111922427	0.688366588121731
251	63	3	1	2	-0.839452514354544	-0.0205698981336631
252	63	4	1	2	1.68888342012477	0.0627684955206051
253	64	1	1	2	-1.31909421242885	-1.04717200849383
254	64	2	2	2	1.37728542174597	1.01840399214159
255	64	3	2	2	1.92919884221258	1.90212224356652
256	64	4	2	2	2.78928979156639	2.16931161879152
257	65	1	2	2	0.0403863651907406	1.00911270900075
258	65	2	2	2	1.44459578551635	0.441140069208152
259	65	3	1	2	-2.03050990479398	-0.998186673930895
260	65	4	1	2	-0.349131811367134	-0.573250756351996
261	66	1	2	2	0.225564437058215	3.9609133816077
262	66	2	1	2	-1.32581678961729	-1.16246537674787
263	66	3	1	2	0.06370949501576	0.124116242116547
264	66	4	1	2	-0.277847373516071	-0.139547778896009
265	67	1	2	2	2.5465933933809	0.955079038738121
266	67	2	2	2	2.01691393819452	0.530579197701692
267	67	3	1	2	-0.271897064059809	1.49732519395395
268	67	4	1	2	-1.01389742335581	-0.8039271948289
269	68	1	1	2	0.145680458406143	0.424338517605927
270	68	2	1	2	0.34671289005478	-0.134694657724092
271	68	3	1	2	0.278745625667431	0.0220893610167392
272	68	4	2	2	0.00702261614618904	1.75666070006652
273	69	1	1	1	-1.55431931612284	0.295523734530668
274	69	2	1	1	-0.922686336272711	-0.0573850056280613
275	69	3	1	1	-0.333233414742897	-1.35391548558448
276	69	4	1	1	-0.845217432798673	-0.100588557712196
277	70	1	2	1	1.36107771133744	0.0526325059859647
278	70	2	2	1	1.97545234075819	1.62362521535439
279	70	3	2	1	0.753363630404112	2.19052087586108
280	70	4	2	1	1.62853326417592	1.2294879966661
281	71	1	1	1	-0.259464371927624	-1.00141165462511
282	71	2	1	1	0.442032437392042	1.97559082899596
283	71	3	1	1	-0.00243863754276779	2.30451294666643
284	71	4	1	1	0.718332086825662	1.10246978278103
285	72	1	2	1	2.461824307051	2.42737675497573
286	72	2	2	1	2.77724685083189	0.475950387582225
287	72	3	2	1	1.09842408496904	1.77957833601234
288	72	4	2	1	2.98402931691778	2.58641966493258
289	73	1	1	1	1.33895021235638	-1.21627179140454
290	73	2	1	1	0.253607767309461	-1.06335876277649
291	73	3	1	1	-0.880062409307745	-0.0895670287651772
292	73	4	1	1	-2.16385914219469	-0.43279569071044
293	74	1	2	2	3.80814698229471	1.69468482785019
294	74	2	1	2	-0.343821027944633	-1.85551893558593
295	74	3	1	2	0.326267113684328	0.518663813901541
296	74	4	2	2	2.54161175044921	2.05719897435751
297	75	1	1	1	-0.963142292250923	-1.73897770435894
298	75	2	1	1	-1.08460199725781	-0.734541253916442
299	75	3	2	1	2.67874714255758	0.490577089506326
300	75	4	2	1	2.45822217821878	2.2627523682081
301	76	1	1	1	1.56673158513419	0.635823563683908
302	76	2	1	1	0.0823956405864587	1.66472629597766
303	76	3	1	1	0.607867354044012	-1.16205718195555
304	76	4	1	1	1.17356861929406	-1.19287804587853
305	77	1	2	2	1.25827778050551	1.5984998584196
306	77	2	1	2	0.31098493937875	0.635469445688035
307	77	3	1	2	-0.43688678482221	-0.0797223138858253
308	77	4	1	2	-0.847963616781941	-0.849716190660861
309	78	1	1	1	-0.943382832203535	0.828570578481988
310	78	2	1	1	0.967188694070499	-0.4488283293288
311	78	3	1	1	-0.569671113010191	-0.269459984664713
312	78	4	1	1	1.04918773267363	-0.639456763115262
313	79	1	2	1	2.96369165454254	0.643036496588087
314	79	2	2	1	2.07674815828281	2.86900077829279
315	79	3	2	1	0.564461696227221	0.460362535072044
316	79	4	2	1	1.16822330571173	2.01973431839209
317	80	1	1	2	-1.46141185745355	0.184831553913824
318	80	2	2	2	3.95692437348948	1.78940138180908
319	80	3	1	2	-0.810949493341646	1.15620917986757
320	80	4	1	2	-0.902614781170297	-1.71055019499973
321	81	1	1	1	0.212213331988302	-0.361995700640686
322	81	2	1	1	-0.0658648503277676	-0.599469338407792
323	81	3	1	1	-2.18225234828447	-0.209518390804096
324	81	4	2	1	2.29659377674131	2.38126872959352
325	82	1	2	2	2.06983135914865	2.04545980014485
326	82	2	2	2	1.46754078557783	2.37642545896001
327	82	3	1	2	0.604979123848484	0.271398593931816
328	82	4	2	2	2.7228756225349	1.8059396710043
329	83	1	1	1	-0.180548842200793	-0.603790004920203
330	83	2	1	1	-0.461702901428128	1.92473951139832
331	83	3	1	1	-0.233446291900739	-0.232784216525482
332	83	4	1	1	0.320207543503176	0.820157132539755
333	84	1	2	2	0.756071424394392	1.49994616353686
334	84	2	1	2	0.244169074035476	0.649186852681968
335	84	3	1	2	0.808542738795259	-0.335163138426699
336	84	4	2	2	1.7273127367474	-0.29219441333395
337	85	1	1	2	1.32872926428887	-1.99864841737206
338	85	2	2	2	1.74553000904111	0.923089391258785
339	85	3	2	2	2.37280801041314	1.65662143773091
340	85	4	1	2	0.606903838600316	-0.220782600724254
341	86	1	2	2	2.74882807894837	2.15176380910734
342	86	2	2	2	3.37212187108833	2.12276280560959
343	86	3	2	2	2.53240425484907	2.05635071722856
344	86	4	1	2	-0.31345746587772	-1.40366194715716
345	87	1	2	2	0.796119782668774	1.4807917049396
346	87	2	2	2	1.56308242495171	1.86561889457221
347	87	3	2	2	2.27406258349207	1.41305657063128
348	87	4	2	2	1.40241426731926	1.22347422152745
349	88	1	2	1	0.721083992416447	1.54315986853362
350	88	2	2	1	3.08173676250557	2.99417316009398
351	88	3	2	1	1.66051781274978	2.06490186210515
352	88	4	2	1	0.412141633847541	1.5185933078931
353	89	1	2	2	2.34154797364318	2.36040118359344
354	89	2	2	2	2.07428427642795	-0.558288739369925
355	89	3	2	2	2.53479321042143	-0.263630095344057
356	89	4	2	2	0.675685679465237	1.18270108263638
357	90	1	2	2	1.85300849633984	3.18674953166058
358	90	2	2	2	1.79891051471323	2.2721316514108
359	90	3	2	2	3.78001039871393	3.31808883703353
360	90	4	2	2	3.03831928868427	2.019177968607
361	91	1	1	1	0.270308459196711	-1.14220458164132
362	91	2	1	1	1.69916693462255	-0.525876826585858
363	91	3	1	1	0.498442546177214	0.720427360099659
364	91	4	1	1	1.17420770006957	0.873191964723977
365	92	1	1	2	0.532377426293439	-1.66373967032962
366	92	2	1	2	0.888500290072885	-1.93614148967794
367	92	3	1	2	1.07034085015201	-1.19861210641924
368	92	4	2	2	3.5690048593797	1.68307804065589
369	93	1	2	2	1.13306719075956	2.72521907590774
370	93	2	2	2	1.16880832703867	1.32858850181123
371	93	3	1	2	0.697130921405353	-1.58350274863514
372	93	4	2	2	3.92889534160246	1.59687824899902
373	94	1	1	2	-0.00338973147452426	-1.11436215856968
374	94	2	1	2	0.858965896518191	-1.58154175382189
375	94	3	2	2	3.35078066084243	0.91512689291562
376	94	4	1	2	0.582280594425351	-0.609302296960712
377	95	1	1	1	1.49502330199512	-0.626398829078999
378	95	2	1	1	-0.647638338686183	0.101232926733915
379	95	3	1	1	0.113475014777069	-0.911941826952379
380	95	4	1	1	-1.27360792437155	0.617926490284267
381	96	1	2	1	3.18708233632093	2.35564074053802
382	96	2	2	1	1.93484770620112	0.766050532805046
383	96	3	1	1	-1.18379590233665	-0.0076490992732717
384	96	4	1	1	1.37912402232563	-1.27943956284944
385	97	1	1	1	-0.895960944655175	0.265320807560324
386	97	2	1	1	0.926339329782494	-0.306941459458503
387	97	3	2	1	2.35003570156606	1.03177156229916
388	97	4	2	1	2.96685417684718	1.85873536390374
389	98	1	1	2	0.237585895909405	1.74190224593558
390	98	2	2	2	0.902108611810972	0.977177965299059
391	98	3	1	2	0.0476168963613082	0.866028804065245
392	98	4	2	2	2.12115789743338	0.564914169124042
393	99	1	2	1	2.72395073170171	1.48169717876616
394	99	2	1	1	-0.715640069758101	1.62441448996909
395	99	3	1	1	0.313063166303806	-2.37534315227762
396	99	4	1	1	-0.414424512974739	0.0083153240911722
397	100	1	2	1	2.23929624377431	0.149388419116106
398	100	2	2	1	1.52791490162984	1.68608462859149
399	100	3	2	1	1.98758065850648	0.834804336464563
400	100	4	2	1	0.13885060850091	0.915242442333276
401	101	1	1	1	-1.78542383132756	2.12057364241286
402	101	2	1	1	0.522403193066081	0.560437136092158
403	101	3	1	1	0.182621784161063	3.29943400292914
404	101	4	1	1	-0.674223223836799	-0.540765152371247
405	102	1	1	2	-0.328212589836706	-0.210156900202467
406	102	2	1	2	-0.063803455477087	-0.904322231920097
407	102	3	2	2	1.14791256341037	1.02884610514985
408	102	4	2	2	2.1373405283646	2.96212809042179
409	103	1	1	1	0.856536449386925	0.866859509958176
410	103	2	1	1	0.0379643522950781	0.534033826642702
411	103	3	1	1	1.31991880183629	-0.635637653528778
412	103	4	1	1	0.442716954860495	-0.286948500258891
413	104	1	2	2	2.65455787781219	3.96799731046405
414	104	2	1	2	0.0062040575660423	1.28557376692607
415	104	3	1	2	-0.756133623360049	-0.0744494887626213
416	104	4	2	2	0.75587190778834	-0.365341229975824
417	105	1	2	1	1.63316556884205	1.2467321186662
418	105	2	2	1	0.682148047923148	2.67805978920657
419	105	3	2	1	0.0786135828855139	3.42051219539611
420	105	4	2	1	2.10547105391273	1.76683520650574
421	106	1	1	2	0.102508673134543	-0.495387962763761
422	106	2	1	2	0.382655336810618	-1.69539954356495
423	106	3	1	2	-0.710994429495715	-0.335092487552314
424	106	4	2	2	-1.07769113233633	2.28965452118367
425	107	1	2	2	2.44223429162204	0.257030475576589
426	107	2	1	2	-0.500599096122288	2.36530416247879
427	107	3	1	2	-1.05211809750701	-1.34481315443321
428	107	4	1	2	-0.000162048508171703	0.996270399797241
429	108	1	2	1	1.25221925457146	2.03875973720792
430	108	2	2	1	1.67407760698911	1.14327396587166
431	108	3	2	1	2.56536468253245	2.70696149597511
432	108	4	2	1	2.13041746388016	2.00382820522118
433	109	1	1	2	0.499519170654554	0.50407256340063
434	109	2	1	2	-0.609159832097729	0.998215309718527
435	109	3	1	2	-1.67918426927467	-0.837432021682879
436	109	4	1	2	1.63306311628714	1.23413646690544
437	110	1	1	2	-1.06775323502207	1.05041062637797
438	110	2	1	2	0.429209278364121	0.35387601742089
439	110	3	1	2	0.862801237671097	-1.0906646321958
440	110	4	2	2	1.64846563136038	1.12269365170628
441	111	1	2	1	3.81896101243424	0.949996702991348
442	111	2	2	1	4.30564239513382	3.21374624801079
443	111	3	2	1	0.72106862298199	1.06200816106776
444	111	4	2	1	0.939983339423896	0.504930008393865
445	112	1	1	1	-0.680988913431077	-1.40356478247936
446	112	2	1	1	-0.859461846571863	-0.643018125489005
447	112	3	1	1	0.418115541489704	0.864992593414717
448	112	4	2	1	0.394851496428892	1.24213623307743
449	113	1	2	2	2.72894017929577	0.72530626208479
450	113	2	2	2	2.78321838746225	2.24419295147855
451	113	3	2	2	1.73710143456259	-0.34109251008422
452	113	4	1	2	1.20440342335549	0.135190759454155
453	114	1	2	1	0.122724831841852	2.04210889020999
454	114	2	1	1	-0.00371014265577659	-0.378353156642929
455	114	3	1	1	-1.48880726772557	-0.0719253624500141
456	114	4	1	1	-0.0562451085451673	0.0695186507845655
457	115	1	1	1	-0.160525809725077	1.24307054356346
458	115	2	1	1	-0.241179656287557	-1.76230183345345
459	115	3	1	1	-0.0954064101748121	0.0581483742418579
460	115	4	2	1	1.54699997505758	2.57295361132332
461	116	1	1	2	-0.192489324307544	-0.599587144415081
462	116	2	1	2	-1.09021744536408	0.0177901075450668
463	116	3	2	2	1.64116728229351	2.40093437947414
464	116	4	1	2	-1.9603451246397	-0.952484200755675
465	117	1	1	2	-0.42479749722422	-0.195961447469171
466	117	2	2	2	1.54686192502557	0.24100095200075
467	117	3	2	2	1.71341222419429	-0.817622782708432
468	117	4	2	2	2.99321678819057	1.04252040527134
469	118	1	1	2	-0.795518039243582	-0.535656629313925
470	118	2	2	2	2.43269971952919	1.61182192473646
471	118	3	1	2	1.57183010371608	1.34793252851978
472	118	4	1	2	-0.720604391950014	-0.103736406622434
473	119	1	1	2	-1.11423720810904	-1.01681028354807
474	119	2	2	2	3.22486668976245	-0.16408502817106
475	119	3	1	2	0.326988334542444	-0.709544373156131
476	119	4	1	2	2.30351752655162	1.30681470444223
477	120	1	2	1	1.43495198853568	2.20336752256766
478	120	2	2	1	2.58793460488701	1.58738441888973
479	120	3	2	1	0.561414552626028	1.77827265133105
480	120	4	2	1	2.39716250490696	0.338129756574192
