id	g	browse	lectures	forum_read	forum_post	attendance
61	5	0.09	-1.39	0.18	1.27	-0.61
62	5	-1.35	-1.53	-1.23	-1.52	-2.12
63	5	-0.8	-0.41	-0.78	-0.43	-2.02
64	5	-0.35	-0.66	-0.94	-0.11	-1.19
65	5	-0.56	-0.75	-0.51	-0.81	-0.7
66	5	-0.53	-2.09	-0.79	-0.41	-0.4
67	5	-1.25	-0.07	-0.02	-0.01	-0.66
68	6	0.53	2.83	0.76	-0.97	1.47
69	6	-0.02	-0.21	-0.74	-0.93	-0.39
70	6	-1.33	-2.25	-1.79	-1.46	-1.53
71	6	-0.96	-0.84	-1.59	-1.82	-1.55
72	6	0.25	-0.05	0.6	1.06	-0.1
73	6	0.98	0.73	1.4	2.34	0.41
74	6	1.52	0.44	1.42	1.01	1.11
75	6	0.46	0.28	-0.49	-0.35	-0.74
76	6	0.33	-0.07	-1.39	-1.07	-1
77	6	0.41	-0.54	0.55	0.09	-0.81
78	6	1.68	2.33	0.33	1.18	1.09
79	6	0.12	-0.03	2.21	0.44	1.24
80	7	1.13	1.21	0.64	0.66	1.14
81	7	-1.69	-0.83	0.56	0.82	-0.13
82	7	1.26	-0.98	0.82	0.08	-0.29
83	7	1.05	-0.69	2.23	0.92	0.02
84	7	-0.66	1.26	0.79	0.76	0.68
85	7	0.16	-0.88	-0.7	0.61	-0.2
86	7	0.46	1.41	0.66	-0.37	0.53
87	7	1.99	0.35	0.25	1.49	-0.84
88	7	0.29	-0.08	0.39	0.83	0.79
89	7	0.01	-0.46	0.02	1.47	-0.08
90	7	1.24	1.43	1.12	0.35	1.27
91	7	-0.02	1.41	1.6	1.13	0.77
92	7	1.17	0.68	-0.43	1.91	0.89
93	7	0.41	0.16	1.45	0.53	0.67
94	7	1.03	-0.43	0.46	0.93	0.73
95	8	1.38	-0.01	-0.33	-0.82	0.2
96	8	-0.05	-0.06	0.12	-0.04	-1.42
97	8	-2.7	-1.57	-1.75	-1.92	-1.34
98	8	-1.67	-0.15	-1.6	-1.62	-0.76
99	8	-1.19	-1.1	-0.44	-0.7	-0.9
100	8	-0.29	-1.07	-0.83	-0.42	0.3
101	8	-1.82	-1.13	-1.32	-0.83	-1.64
102	8	-1.39	-1.38	-0.67	-0.34	-0.63
103	8	-1.61	-0.2	-0.58	-0.66	-1.19
104	8	0.19	-1.45	-1.37	-1.16	-1.04
105	8	-0.87	-1.27	0.05	-0.67	-0.18
106	8	1.43	-0.43	1.33	0.83	2.05
107	8	-0.12	2.11	0.83	0.55	0.16
108	8	0.64	-0.75	0.63	-0.09	-0.29
109	9	1.91	0.33	0.55	1.32	1.09
110	9	0.35	1.77	-0.08	-0.08	0.56
111	9	0.53	-1.27	0.05	-0.45	0.48
112	9	-0.25	0.79	1.36	0.1	0.82
113	9	-0.27	1.52	1.09	0.47	0.18
114	9	-1.55	-0.36	2	0.83	0.47
115	9	1.34	0.6	0.99	1.15	1.7
116	9	-0.84	1.49	-0.27	0.65	1.46
117	9	-0.38	-0.12	0.53	0.55	-0.3
118	9	0.06	1.17	1.73	1.91	0.67
119	9	0.49	2.1	1.41	0.7	0.44
120	9	-0.15	1.04	0.9	0.74	1
121	9	0.31	-1.21	0.53	0.98	0.24
122	9	0.22	0.93	1.08	0.21	-0.36
123	10	0.37	-0.45	-1.35	-0.81	-0.84
124	10	-0.37	0.84	-0.45	0.11	-0.73
125	10	-2.26	-0.48	-0.64	-0.95	-0.64
126	10	-1.19	-0.01	-1.27	-1.61	-1.82
127	10	-1.3	0.41	-0.31	-1.67	-1.17
128	10	-1.09	0.4	-1.39	-0.6	-1.34
129	10	-1.82	1.43	-2.57	-1.01	-0.42
130	10	-0.77	0.4	-0.49	-0.4	-0.84
131	10	-0.99	-1.07	-1.12	-0.54	-0.47
132	10	0.25	-0.05	-1.07	-0.64	-0.74
133	10	-0.95	-1.25	-1.62	-1.22	-1.52
134	10	0.01	1.34	0.75	-0.29	0.78
135	10	1.36	0.11	0.42	-0.31	0.95
136	10	-0.37	-0.89	-0.36	-1.53	0.12
137	10	-1.18	-0.69	-0.24	-0.46	-1.63
138	11	-0.4	0.18	-0.75	-0.69	-2.35
139	11	-0.19	-0.04	2.14	0.18	0.9
140	11	0.43	1.67	0.06	1.32	1.52
141	11	-0.94	0.27	1.15	-0.12	0.27
142	11	0.02	0.58	0.99	2.08	0.71
143	11	0.94	1.01	0.24	0.45	0.58
144	11	0.44	0.58	-0.48	-0.64	0.08
145	11	0.8	0.72	0.55	0.71	1.13
146	11	0.41	2.23	1.2	-0.47	1.19
147	11	1.46	-0.62	0.59	-1.05	1.62
148	11	0.32	0.63	0.34	1.22	0.72
149	11	0.85	0.28	-0.15	0.98	2.41
150	11	0.27	0.49	0.92	1.2	0.68
151	12	1.81	2.22	1.28	0.71	1.71
152	12	0.12	-0.42	0.11	-0.61	0.77
153	12	-0.57	0.38	-0.54	0.35	-0.15
154	12	0.34	-0.63	1.55	2.16	0.66
155	12	-1.19	-0.36	-1.59	-1.27	-1.66
156	12	-0.33	-2.26	-0.49	-0.96	-0.7
157	12	-1.09	-1.94	-1.42	-1.87	-1.47
158	12	-1.83	0.54	-0.27	-0.21	-1.11
159	12	-1.26	-0.44	-1.01	-1.78	-1.04
160	12	-0.01	-0.62	-0.22	1.02	0.02
161	12	0.89	0.27	-0.17	0.36	-0.1
162	12	0.83	0.76	0.84	0.9	2.21
163	12	1.26	2.17	0.61	-1.35	1.14
164	12	0.49	1.03	0.73	1.18	1.08
165	12	-0.42	0.53	0.49	1.92	0.25
166	13	0.75	0.36	0.5	1.5	1.46
167	13	0.69	0.48	0.84	1.07	2.15
168	13	1.28	-0.86	0.59	1.35	0.1
169	13	0.99	-0.17	0.77	0.98	0.86
170	13	0.45	-0.58	0.84	-0.47	-0.92
171	13	0.02	0.71	0.88	0.91	-0.01
172	13	0.55	-0.8	2.19	3.02	0.93
173	13	1.29	1.06	0.52	1.72	0.96
174	13	0.22	1.2	-0.32	0.22	0.43
175	13	-1.47	0.48	-1.57	-0.85	-1.31
176	13	-0.33	-1.07	-0.11	-0.83	-0.31
177	13	0.08	0.23	0.45	0.21	1.65
178	13	-0.19	0.99	1.46	1.39	1.69
179	13	0.97	-1.16	-0.47	0.29	-1
180	14	-1.01	-0.67	-0.75	1.27	0.96
181	14	-0.67	1.09	0.27	0.2	0.52
182	14	-0.54	0.12	2.09	0.22	1.56
183	14	1.27	-1.36	0.66	0.54	0.97
184	14	1.06	-0.03	0.52	1.63	0.8
185	14	-0.29	-0.86	-1.4	-1.02	-0.95
186	14	-0.91	-1.27	0.22	-0.52	-0.07
187	14	1.24	0.93	0.05	0.51	0.55
188	14	-1.9	-0.21	-1.25	-0.59	-1.16
189	14	-0.2	-0.34	-1.14	-0.48	-0.38
190	14	1.46	0.36	1.33	0.77	1.67
191	14	-0.22	0.17	-0.05	0.88	0.37
192	15	-1.53	-0.59	0.11	-0.85	-0.63
193	15	-0.19	-2.07	-1.41	-0.54	-0.82
194	15	-0.3	0	0.22	-1.64	-0.14
195	15	0.9	-0.35	0.51	1.17	-0.02
196	15	1.68	3.1	2.21	0.17	1.99
197	15	0.99	-0.99	-0.55	0.35	0.62
198	15	1.75	0.83	1.57	0.39	1.69
199	15	1.61	1	0.84	1.07	1.47
200	15	0.93	0.4	-0.5	0.82	0.51
201	15	0.38	0.37	1.07	0.18	0.79
202	15	0.23	0.02	1.08	0.92	1.35
203	15	0.76	0.48	0.64	0.51	-0.11
204	15	0.58	0.46	-0.73	1.42	-0.42
205	15	-1.06	-0.06	-0.94	-0.08	-0.1
206	16	1.56	0.73	-0.66	1.13	0.6
207	16	-0.03	0.85	0.59	-0.56	0.62
208	16	0.73	1.67	1.27	0.38	0.33
209	16	0.68	0.09	0.61	-0.32	0.4
210	16	0.08	0	-0.17	1.92	0.56
211	16	0.36	-1.04	0.26	-0.77	0.16
212	16	0.36	1.05	-0.24	1.61	1.09
213	16	1.77	1.86	0.94	1.75	1.38
214	16	1.43	0.02	0.95	1.95	-0.51
215	16	0.97	-0.73	0.78	0.81	0.27
216	16	0.49	0.33	0.41	0.36	1.54
217	16	-0.07	0.88	0.83	0.05	0.93
218	16	1.09	0.75	2.02	0.97	1.56
219	16	1.93	0.87	1.23	0.27	1.25
220	16	2.02	-0.09	0.84	0.22	1.7
221	17	-0.64	1.38	0.95	1.25	0.89
222	17	0.82	2.02	0.65	1.3	1.38
223	17	0.94	-0.32	1.6	-0.3	1.02
224	17	0.23	0.45	0.12	1.01	0.24
225	17	-0.25	1.43	1.12	1.04	0.86
226	17	0.91	0.07	0.11	-0.25	-0.25
227	17	1.93	0.21	0.37	1.24	0.3
228	17	0.23	-0.83	-0.2	0.86	0.27
229	17	-0.23	-0.16	0.87	-0.65	0.4
230	17	0.28	0.3	0.04	0.49	0.36
231	17	-0.15	0.47	1.27	-0.94	0.55
232	17	0.28	0	1.14	2.01	0.52
233	17	0.4	-0.34	0.19	1.13	1.79
234	18	1.15	1.07	1.39	0.17	0.58
235	18	1.27	0.8	0.2	1.97	-0.04
236	18	-0.68	-1.66	-0.62	-1.67	-0.69
237	18	0.91	1.58	0.53	-0.04	1.41
238	18	0.52	0.14	1.68	1.62	0.62
239	18	0.23	0.82	-0.42	-0.06	0.68
240	18	0.48	1.04	0.21	1.18	1.43
241	18	0.18	0.2	0.15	1.9	0.73
242	18	-0.56	1.02	0.57	-0.55	0.79
243	18	0.99	-0.23	0.7	-0.8	-1.03
244	18	0.03	0.93	-0.83	1.34	0.96
245	18	1.53	1.72	1.74	0.62	1.57
246	19	1.57	0.01	1.18	-0.31	0.23
247	19	-1.08	-0.27	-0.52	-0.44	-0.31
248	19	1.82	-0.55	1.5	0.38	0.26
249	19	0.25	0.58	0.05	0.09	0.27
250	19	-1.05	1.72	0.87	1.16	0.42
251	19	-0.41	0.53	0.62	0.15	0.56
252	19	0.02	-1.42	0.23	-0.33	-0.43
253	19	0.06	0.62	1.14	0.42	0.12
254	19	0.16	0.55	0.55	0.74	0.65
255	19	-0.16	-1.06	1.18	0.71	1.12
256	19	1.85	0.79	1.51	0.65	1.5
257	19	0.56	0.74	-0.08	-1.09	0.13
258	19	-0.57	-1.59	-0.49	-1.73	-0.99
259	19	-1.67	0.84	-2	-1.78	-1.58
260	20	-0.95	-0.53	-2.52	-1.89	-1.68
261	20	-1.26	-1.1	-0.79	-0.47	-0.74
262	20	1.74	-0.16	0.51	0.02	1.38
263	20	0.55	0.62	0.07	0.46	-0.21
264	20	-0.66	0.12	0.7	0.15	-0.31
265	20	-1.11	-1.31	-0.6	-0.81	-0.95
266	20	-1.35	0.23	-1.29	-2.28	-1.17
267	20	1.71	0.86	-0.79	1.19	0.92
268	20	1.39	1.98	1.32	0.57	0.51
269	20	1.02	-1.3	0.65	0.25	0.54
270	20	-0.1	1.79	-0.28	0.97	0.32
271	20	1.13	-0.21	1.33	-0.76	-0.5
272	20	0.92	-0.42	0.04	-0.79	-1.23
273	20	1.31	0.62	1.62	-0.43	0.08
274	20	-0.64	-0.84	-1.11	-1.1	0.34
275	21	-0.03	0.54	1.15	0.96	0.08
276	21	1.07	-0.13	0.08	1.57	0.63
277	21	-0.54	0.39	1.6	0.15	0.8
278	21	0.2	-1.04	1.28	1.03	0.1
279	21	0.51	1.07	0.07	2.25	0.56
280	21	1.32	0.36	0.78	-0.15	-0.16
281	21	0.23	1.25	1.45	0.29	0.36
282	21	1.53	0.62	1.29	0.74	0.97
283	21	-0.85	-0.13	-1.44	0.02	-1.4
284	21	-1.85	-0.74	-0.77	-0.71	-0.93
285	21	-1.46	-0.33	-1.21	-0.57	-0.63
286	21	0.48	0.24	1.38	-0.25	-0.49
287	21	1.42	-0.01	-1.19	-0.03	0.71
288	21	0.24	-0.25	-0.09	-1.45	-1.44
289	22	0.79	0.51	-0.01	0.25	0.89
290	22	1.14	0.72	0.78	0.47	1.12
291	22	0.79	0.2	-0.21	0.85	0.17
292	22	1.33	0.69	2.01	2.42	1.87
293	22	-0.63	-0.62	-0.53	-2	-0.29
294	22	0.47	0.52	-0.33	-0.68	-0.66
295	22	-0.86	1.01	-0.54	-0.68	-0.7
296	22	-1.49	-0.3	-1.14	-1.19	-0.53
297	22	-1.19	0.08	-0.17	-1.06	-0.02
298	22	-0.76	0.53	-0.57	-0.43	0.16
299	22	-0.78	-0.25	-1.64	0.48	-0.18
300	22	0.21	0.85	0.56	1.69	0.11
301	22	0.55	0.31	0.62	0.35	0.23
302	23	2.17	1.68	0.88	-0.4	0.42
303	23	0.26	0.93	0.86	1.36	1.01
304	23	-0.67	0.42	0.28	1.11	0.93
305	23	-0.5	1.27	0.42	0.67	1.24
306	23	-0.6	0.02	0.53	-0.02	1.32
307	23	0.36	-1.1	0.27	0.46	0.46
308	23	0.01	0.35	1.43	-0.21	1.89
309	23	0.6	2.17	0.56	-0.6	0.68
310	23	1.09	0.57	0.37	0.87	1.3
311	23	1.49	1.29	1.05	0.26	1.94
312	23	-1.3	0.19	-0.67	-0.87	-1.32
313	23	0.71	2.33	0.43	0.95	1.65
314	23	1.17	-0.6	-0.63	0.5	0.18
315	23	-0.5	-0.64	0.53	1.01	0.16
316	23	0.3	1.44	-0.45	0.48	1.08
317	24	1.05	1.01	0.13	1.65	1.63
318	24	0.59	1.44	1.53	2.14	1.29
319	24	0.57	-1.39	0.61	-0.46	-0.85
320	24	-0.42	-0.56	-1.09	-0.44	-0.61
321	24	1.66	0.9	0.41	0.58	0.9
322	24	-0.71	-1.48	-0.97	-0.68	-1.2
323	24	-0.66	-0.67	-0.21	-0.66	-0.82
324	24	-2.29	-0.11	-1.51	-1.28	-0.92
325	24	0.35	1.19	-0.29	0.67	1.6
326	24	-0.16	-0.08	0.72	0.88	1.35
327	24	-1.36	-1.77	-1.11	0.64	-0.37
328	24	-1.42	0.11	-0.41	-0.96	-0.71
329	24	0.88	0.45	0.23	-0.26	0.1
330	24	-0.39	0.33	0.12	1.09	-0.17
331	25	1.3	-0.39	-0.71	0.32	0.42
332	25	-0.29	0.66	1.3	-0.89	0.3
333	25	1.14	2.85	0.61	0.61	1.53
334	25	2.1	-0.12	-0.45	-0.29	0.24
335	25	-1	-0.38	-1.49	0.35	0.11
336	25	0.45	-1.23	-0.78	-1.5	-1.14
337	25	0.2	1.5	0.38	0.77	0.5
338	25	0.95	1.41	-0.22	-0.48	-0.17
339	25	-0.08	1.35	0.47	1.26	1.29
340	25	-0.11	-1.33	-1.14	-0.52	-0.52
341	25	0.21	-1.63	1.03	2.11	0.79
342	25	1.39	-1.99	-0.33	0.87	-0.01
343	25	1.67	-0.82	-0.05	2.64	0.22
344	25	1.81	0.41	0.04	-0.21	1.72
345	26	0.59	1.58	1.09	1.63	1.34
346	26	1.24	-0.15	0.19	-2.15	-0.39
347	26	0.37	1.36	0.41	1.13	-0.42
348	26	1.85	-0.06	0.67	-0.42	1.68
349	26	0.61	-1.07	1.25	0.8	0.07
350	26	1.55	0.03	1.14	1.39	1.74
351	26	1.62	0.7	0.73	-0.36	0.31
352	26	0.59	1	0.21	1.08	0.91
353	26	1.25	0.3	1.58	-0.23	0.05
354	26	-0.63	-0.56	-0.21	0.22	0.2
355	26	0.38	0.54	0.49	0.4	0.63
356	26	0.95	1.95	0.24	-0.85	-0.23
357	26	0.77	0.49	-0.17	-0.48	0.85
358	27	1.61	1.02	1.38	-0.35	1.47
359	27	0.86	-0.63	0.03	1.01	0.84
360	27	0.9	0.4	1.11	0.34	0.38
361	27	-1.46	-0.81	-1.22	-1.15	-0.96
362	27	-0.55	0.08	-1.25	-0.02	0.03
363	27	0.21	-1.63	-0.47	0.04	-0.21
364	27	-1.56	-0.16	-1.02	-0.73	-1.02
365	27	-0.38	0.34	0.6	-1.87	-0.84
366	27	0.17	-0.97	-0.2	-0.53	-0.62
367	27	1.26	-0.34	0.44	0.51	0.63
368	27	0.68	1.95	0.37	1.14	1.28
369	27	0	-0.32	1.14	1.46	1.04
370	27	1.15	-0.46	-0.17	0.63	0.2
371	27	1.13	0.8	0.24	0.13	0.25
372	27	0.39	1	0.59	1.54	1.98
373	28	0.69	1.04	0.71	0.61	0.59
374	28	0.91	-1.55	1.92	0.52	1.61
375	28	-0.89	-1.65	-1.18	-0.78	-2.2
376	28	-0.7	-0.47	-0.64	-0.17	-0.59
377	28	-1.85	-0.03	-0.27	-1.04	-2.45
378	28	-0.17	-0.38	-0.85	-0.25	-1.2
379	28	-2.07	-1.48	-0.62	-1.57	-1.12
380	28	0.57	-0.57	-1.5	1.24	0.07
381	28	0.22	-0.53	0.24	0.74	0.89
382	28	0.64	-1.52	0.33	-0.93	-0.29
383	28	0.58	1.45	1.09	1.79	2.19
384	28	0	-1.09	-1.04	-0.26	-0.69
385	28	1.43	0	1.18	1	0.18
386	28	0.03	0.45	0.27	0.77	0.21
387	28	0.45	2.73	1.59	0.96	0.84
388	29	-0.08	1.07	-1	1.54	0
389	29	1.48	0.2	0.54	-0.15	0.08
390	29	-0.18	-0.39	2.41	2.22	0.77
391	29	-0.03	0.01	-1.05	-0.7	-0.98
392	29	-0.11	-0.29	1.21	1.31	0.98
393	29	0.72	0.36	1.41	0.28	2.27
394	29	-0.13	0.74	1.14	-0.15	0.56
395	29	0.73	0.09	0.39	-0.75	0.4
396	29	0.33	1.11	0.61	0.72	1.34
397	29	1.21	1.83	0.63	1.97	0.43
398	29	-0.37	-0.12	0.92	0.99	0.71
399	29	0.9	0.37	0.97	0.95	0.09
400	30	-0.4	-0.66	-0.72	-0.38	-1.41
401	30	-1.45	1	-1.04	-0.84	-1.43
402	30	-1.11	-0.44	-0.29	-0.38	-1.55
403	30	-0.66	-2.25	-0.93	-1	-0.34
404	30	0.1	-0.57	-1.15	0.12	-0.57
405	30	-1.74	-0.99	-0.42	-1.35	-1.96
406	30	-0.94	-1.3	-0.03	-0.39	-0.94
407	30	-1.72	-0.28	-0.86	0.09	0.83
408	30	-0.91	-0.81	-0.47	-1.33	-0.41
409	30	-1.76	0.14	-1.27	-0.69	-0.66
410	30	0.22	0.7	-0.35	-0.71	-0.61
411	30	-1.06	-1.15	-1.35	-1.59	-1.48
412	30	0.63	-1.47	-1.08	-0.8	-1.81
413	30	-0.1	-0.46	-0.76	-1.42	0.37
414	30	-1.44	-0.5	-0.89	0.19	-0.91
415	31	0.16	0.07	-1.29	0.14	-0.72
416	31	-1.78	-1.01	-0.15	-1.35	-1.59
417	31	0.01	-0.86	-1.38	-0.64	-1.01
418	31	-2.08	-0.14	-0.76	-0.69	-2.1
419	31	0.04	1.75	0.27	0.07	0.68
420	31	-0.81	0.07	-1.42	-0.47	-0.03
421	31	-0.89	-1.24	-1.98	-0.64	-1.6
422	31	-1.14	-1.31	-1.64	-1.47	-1.52
423	31	0.04	-0.14	-1.37	-0.98	-0.78
424	31	0.98	1.63	0.57	-0.4	0.15
425	31	1.02	1.42	-0.11	0.15	0.88
426	31	1.35	0.07	0.14	0.52	0.59
427	31	0.19	0.86	1.37	1.41	1.54
428	31	1.09	1.77	0.25	0.44	1.01
429	32	0.08	0.34	0.63	1.54	0.83
430	32	-0.09	0.82	1.49	-0.29	0.78
431	32	-1.52	-0.5	0.86	1.32	-0.14
432	32	-0.04	2.66	-0.56	1.72	1.38
433	32	1.5	2.13	0.94	0.68	1.68
434	32	0.8	0.74	0.32	-0.06	0
435	32	0.29	-0.13	1.33	2.42	0.4
436	32	-0.29	-0.2	0.81	-0.84	-0.2
437	32	-1.24	0.83	1.79	0.44	0.76
438	32	0.28	-0.72	1.31	0.82	-0.2
439	32	1.11	0.98	0.52	-0.22	0.59
440	32	0.03	0.49	0.21	0.02	-0.56
441	32	-0.09	0.47	1.17	-0.34	0.81
442	33	-1.23	0.1	1.26	1.31	0.19
443	33	0.9	0.79	0.47	-0.12	0.08
444	33	-0.89	-1.49	-1.53	-1.24	-1.97
445	33	0.28	-0.16	-1.1	-1.45	-1.51
446	33	-0.95	-0.59	-0.76	0.95	-0.73
447	33	0.31	0.28	1.12	1.1	1.25
448	33	0.34	0.05	1.01	0.62	0.68
449	33	-0.22	-0.26	-0.49	1.33	-0.36
450	33	1.34	1.72	1.12	0.49	1.12
451	33	0.21	0.82	0.33	-1.59	0.09
452	33	-0.04	-1.77	-0.19	0.09	-0.37
453	33	-0.83	-0.6	-0.44	-1.25	-1.06
454	33	-0.35	-1.47	-0.24	-0.78	-0.8
455	34	0.98	0.89	1.52	1.19	1.22
456	34	0.75	0.95	2.23	1.29	1.47
457	34	-1.41	-0.78	-0.74	-0.34	-1.95
458	34	1.22	0.06	0.98	-0.53	0.73
459	34	-0.44	1.89	0.27	0.83	1.88
460	34	0.34	-0.25	0.04	0.61	0.43
461	34	0.1	0.28	1.42	1.91	0.46
462	34	-0.35	1.06	-0.69	1.06	0.25
463	34	1.45	-0.82	0.41	-0.51	1.33
464	34	0.25	-0.12	-0.06	0.95	1.06
465	34	-0.29	-2.08	-0.41	0.14	-1.1
466	34	-1.17	-1.43	-1.72	-0.14	-0.88
467	34	-0.98	-0.39	-1.03	-0.75	0.04
468	34	-0.85	-2.5	-0.82	-1.36	-0.2
469	35	-0.87	1.56	-0.16	0.91	0.48
470	35	0.46	0.4	1.98	1.03	1.95
471	35	-1.43	-0.98	-1.65	-0.48	-1.1
472	35	-1.65	-0.88	-1.5	-0.87	-0.8
473	35	-0.73	-0.38	-0.89	-0.04	-1.37
474	35	0.08	-1.22	0.25	-1.22	-1.02
475	35	-1.49	-0.88	-0.39	-0.9	-0.77
476	35	-0.69	0.01	-1.71	-1.24	0.16
477	35	-1.21	0.04	-1.24	-0.36	-0.76
478	35	-1.1	0.18	-1.49	-0.74	-1.73
479	35	-1.23	-1.71	-1.03	-0.96	-0.87
480	35	-0.97	-0.64	-1.56	0.27	-1.11
481	35	-1.18	0.54	-2.58	-0.68	-0.78
482	36	0.08	-0.74	1.42	0.8	0.63
483	36	1.96	0.92	2.02	0.95	0.75
484	36	-1.23	-0.57	-0.38	-0.99	-0.53
485	36	-1.13	-0.73	-1.23	-1.16	-2.08
486	36	0.73	2.97	0.62	-0.68	1.41
487	36	0.01	0.1	1.53	-0.21	0.87
488	36	-0.47	0.63	1.42	-0.05	0.46
489	36	0.9	0.95	0.49	-0.19	0.22
490	36	1.28	0.14	2.81	0.72	0.92
491	36	0.88	2.12	0.73	2.47	1.38
492	36	0.33	0.22	0.62	1.48	0.04
493	36	1.16	-0.23	1.51	0.14	0.78
494	36	0.17	-1.69	-0.19	0.29	0.38
495	36	0.71	-0.76	0.65	2.32	1.26
496	37	2.14	-0.23	1.74	1.14	0.21
497	37	0.55	-0.18	1.04	1.1	1.17
498	37	-0.94	0.17	1.13	0.25	0.34
499	37	1.21	1.26	1.18	-0.24	1.41
500	37	0.9	-1.53	0.19	0.22	0.85
501	37	0.56	-0.24	0.26	1.67	1.26
502	37	2.02	0.4	0.4	1.38	1.39
503	37	0.44	0.52	-0.52	1.37	0.39
504	37	-1.11	-1.39	1.12	0.04	-0.74
505	37	0.58	0.03	-0.23	0.44	0.75
506	37	1.26	0.51	0.64	1.16	0.4
507	37	0.49	1.75	-0.08	0.58	0.68
508	37	-1.11	-0.37	-1.53	-0.73	-1.39
509	38	-0.31	0.29	-1.05	-0.95	-0.31
510	38	-0.59	0.62	-1.54	-0.24	-1.75
511	38	-1.35	-1.07	-0.65	-0.08	-1.06
512	38	-1.73	0.25	-1.61	-0.82	-0.52
513	38	-0.85	0.49	-0.06	0	-0.77
514	38	-0.79	-1.55	-1.89	-1.12	-1.74
515	38	0.51	1.72	0.26	-0.39	0.66
516	38	0.83	-0.71	0.45	-0.03	0.14
517	38	0.6	0.2	-0.73	0.1	-0.87
518	38	-0.09	1.25	0.31	0.17	1.86
519	38	1.05	0.3	0.51	-0.37	1.09
520	38	1.96	-0.36	0.34	1.32	0.38
521	38	-0.36	-1.98	-1.29	-0.13	-1.83
522	39	-0.4	-0.39	-0.4	-0.16	-0.26
523	39	-0.53	-0.4	-1.4	-0.99	-0.56
524	39	-0.03	-0.39	-1.28	-0.95	-0.97
525	39	-0.94	0.39	-0.36	-1.01	-1.02
526	39	-0.43	-1.04	-0.46	-0.11	-0.8
527	39	-1.33	-1.27	-0.88	0.06	-0.75
528	39	-2.2	-1.06	-1.22	-1.54	-2.17
529	39	-0.41	-1.85	-1.17	-0.11	-0.61
530	39	-1.04	-0.31	-0.26	-0.71	-0.55
531	39	-0.25	0.82	0.03	-0.91	-0.77
532	39	-1.89	-0.1	-0.15	-0.98	-0.85
