id	g	profile	group_class	c1	c2	c3	c4
73	10	1	2	1	3	2	1
74	10	2	2	3	1	3	2
75	10	2	2	3	2	1	2
76	10	2	2	3	1	2	3
77	10	2	2	3	1	3	3
78	10	2	2	3	1	2	2
79	10	2	2	2	3	3	3
80	10	2	2	3	2	3	1
81	11	1	1	1	1	1	1
82	11	1	1	1	3	3	2
83	11	2	1	3	1	1	3
84	11	1	1	1	3	1	1
85	11	2	1	3	3	3	3
86	11	1	1	1	3	1	1
87	11	2	1	2	1	3	2
88	11	1	1	1	3	1	1
89	12	1	2	1	3	1	1
90	12	2	2	3	1	2	2
91	12	2	2	3	1	3	3
92	12	2	2	2	2	3	3
93	12	2	2	2	2	2	2
94	12	2	2	2	1	2	2
95	12	1	2	3	2	3	2
96	12	2	2	3	1	1	2
97	13	2	2	3	2	3	3
98	13	2	2	3	1	2	3
99	13	2	2	3	2	2	3
100	13	1	2	1	3	1	1
101	13	2	2	3	2	3	2
102	13	2	2	1	1	3	3
103	13	1	2	2	2	1	1
104	13	2	2	3	1	3	3
105	14	1	1	1	3	1	2
106	14	1	1	1	1	1	1
107	14	1	1	1	3	2	1
108	14	1	1	1	2	1	2
109	14	1	1	1	3	1	1
110	14	1	1	1	3	2	1
111	14	1	1	1	3	2	1
112	14	1	1	1	2	1	1
113	15	2	2	3	1	3	3
114	15	2	2	2	2	2	3
115	15	1	2	1	3	1	3
116	15	2	2	3	1	1	1
117	15	2	2	3	2	3	2
118	15	2	2	3	1	3	3
119	15	2	2	3	1	3	2
120	15	2	2	1	3	3	1
121	16	1	1	3	3	1	2
122	16	1	1	1	2	1	1
123	16	1	1	1	3	1	1
124	16	2	1	3	1	3	2
125	16	1	1	1	3	1	2
126	16	1	1	3	1	1	1
127	16	2	1	2	2	3	3
128	16	1	1	1	3	2	2
129	17	1	1	1	3	1	1
130	17	1	1	1	3	1	1
131	17	2	1	3	2	2	2
132	17	1	1	2	3	1	1
133	17	1	1	2	3	2	1
134	17	1	1	1	2	2	1
135	17	1	1	1	2	1	1
136	17	1	1	2	3	1	1
137	18	1	1	2	3	1	1
138	18	1	1	1	2	1	1
139	18	1	1	1	3	2	3
140	18	1	1	1	1	1	3
141	18	2	1	1	2	3	3
142	18	1	1	1	2	2	1
143	18	1	1	2	1	3	3
144	18	1	1	2	3	3	1
145	19	2	2	3	1	3	3
146	19	2	2	3	1	3	3
147	19	2	2	3	1	1	2
148	19	2	2	3	1	3	2
149	19	2	2	1	1	3	3
150	19	2	2	3	3	2	3
151	19	1	2	1	3	1	1
152	19	1	2	1	3	1	2
153	20	2	1	2	1	3	1
154	20	2	1	3	1	3	2
155	20	2	1	2	2	3	3
156	20	1	1	1	3	2	1
157	20	2	1	3	1	3	3
158	20	2	1	3	2	2	3
159	20	1	1	1	1	1	1
160	20	1	1	3	3	1	2
161	21	1	2	2	3	1	1
162	21	2	2	1	1	2	3
163	21	2	2	3	1	3	3
164	21	1	2	1	1	2	3
165	21	1	2	2	3	1	1
166	21	2	2	3	2	3	3
167	21	2	2	2	1	3	3
168	21	2	2	3	2	1	3
169	22	1	1	1	3	1	2
170	22	2	1	3	1	3	2
171	22	2	1	3	2	2	2
172	22	1	1	3	2	1	1
173	22	1	1	1	3	1	1
174	22	1	1	2	3	1	1
175	22	1	1	3	3	1	1
176	22	1	1	3	2	1	2
177	23	2	2	1	1	3	3
178	23	2	2	1	2	2	3
179	23	2	2	1	1	3	3
180	23	2	2	2	2	1	2
181	23	1	2	1	3	2	1
182	23	2	2	2	2	3	3
183	23	2	2	2	1	3	3
184	23	2	2	3	1	1	3
185	24	2	2	3	1	1	3
186	24	2	2	3	1	3	1
187	24	2	2	3	1	3	1
188	24	2	2	2	2	2	2
189	24	2	2	3	1	3	3
190	24	2	2	3	1	3	3
191	24	2	2	3	1	3	3
192	24	2	2	3	2	2	1
193	25	2	2	3	1	2	3
194	25	1	2	1	2	1	1
195	25	2	2	3	2	2	2
196	25	1	2	2	3	1	1
197	25	2	2	3	1	3	3
198	25	2	2	1	1	3	2
199	25	1	2	3	3	1	1
200	25	2	2	3	2	3	3
201	26	2	2	3	2	3	1
202	26	1	2	1	2	1	1
203	26	2	2	2	1	1	2
204	26	2	2	3	2	3	3
205	26	2	2	2	1	3	3
206	26	2	2	3	1	3	2
207	26	2	2	3	1	3	2
208	26	2	2	2	2	1	3
209	27	2	1	3	2	3	3
210	27	2	1	3	2	3	2
211	27	1	1	3	3	2	1
212	27	1	1	3	3	1	1
213	27	1	1	1	3	1	3
214	27	2	1	2	2	3	3
215	27	1	1	3	3	1	2
216	27	1	1	1	3	2	1
217	28	1	1	1	3	1	1
218	28	2	1	1	1	3	1
219	28	1	1	1	1	1	1
220	28	1	1	1	2	1	1
221	28	2	1	2	1	3	1
222	28	1	1	2	3	1	3
223	28	1	1	2	3	2	1
224	28	1	1	2	3	1	2
225	29	1	1	1	3	1	2
226	29	1	1	3	3	1	1
227	29	1	1	2	3	1	3
228	29	2	1	3	1	2	2
229	29	1	1	1	3	1	2
230	29	2	1	3	2	1	3
231	29	1	1	2	3	1	1
232	29	1	1	3	3	1	2
233	30	2	1	1	1	3	3
234	30	1	1	1	2	1	1
235	30	2	1	3	2	2	2
236	30	1	1	1	3	1	1
237	30	1	1	2	2	3	1
238	30	1	1	2	3	1	1
239	30	1	1	1	3	2	1
240	30	1	1	2	2	1	1
241	31	1	2	2	3	1	1
242	31	2	2	2	1	3	3
243	31	2	2	3	2	3	1
244	31	2	2	3	1	3	2
245	31	2	2	2	1	2	3
246	31	1	2	1	3	1	1
247	31	1	2	1	3	3	1
248	31	1	2	2	2	1	1
249	32	2	2	3	2	3	3
250	32	2	2	3	1	1	2
251	32	2	2	3	1	3	3
252	32	2	2	3	1	3	3
253	32	2	2	3	1	2	2
254	32	2	2	3	2	2	2
255	32	2	2	3	2	2	2
256	32	2	2	3	3	3	2
257	33	2	2	3	1	3	2
258	33	2	2	3	3	2	2
259	33	2	2	3	3	3	3
260	33	2	2	3	1	2	2
261	33	2	2	3	1	2	2
262	33	1	2	2	3	1	1
263	33	2	2	2	2	3	3
264	33	2	2	2	1	2	2
265	34	2	2	2	1	3	3
266	34	2	2	3	1	3	2
267	34	2	2	3	2	3	2
268	34	1	2	1	2	1	1
269	34	1	2	1	2	3	2
270	34	2	2	2	1	3	3
271	34	2	2	3	1	2	3
272	34	1	2	1	2	1	1
273	35	1	1	3	3	1	1
274	35	1	1	1	3	2	3
275	35	2	1	1	1	2	2
276	35	1	1	2	2	1	1
277	35	1	1	1	2	1	1
278	35	1	1	1	3	1	1
279	35	1	1	1	3	3	2
280	35	1	1	2	3	1	1
281	36	2	2	3	2	3	3
282	36	2	2	3	2	3	3
283	36	1	2	1	3	1	1
284	36	2	2	3	1	3	2
285	36	2	2	3	2	2	3
286	36	2	2	1	1	1	1
287	36	2	2	3	1	3	3
288	36	2	2	3	2	3	3
289	37	1	1	1	3	1	3
290	37	2	1	3	1	2	2
291	37	1	1	1	2	3	1
292	37	1	1	1	2	2	3
293	37	1	1	2	3	1	1
294	37	1	1	1	3	2	3
295	37	1	1	1	1	1	1
296	37	1	1	1	2	1	2
297	38	1	2	1	3	1	1
298	38	2	2	2	3	3	3
299	38	2	2	3	2	1	3
300	38	2	2	3	1	1	3
301	38	2	2	3	3	3	1
302	38	1	2	1	3	3	1
303	38	1	2	1	3	1	1
304	38	1	2	3	3	1	1
305	39	1	2	1	1	3	2
306	39	2	2	3	1	2	3
307	39	1	2	1	3	1	3
308	39	2	2	3	2	2	3
309	39	1	2	2	3	1	3
310	39	2	2	2	2	3	3
311	39	2	2	3	1	3	2
312	39	2	2	3	1	1	2
313	40	1	1	1	3	1	1
314	40	1	1	3	3	1	2
315	40	1	1	1	2	1	1
316	40	1	1	1	2	1	1
317	40	1	1	3	3	1	1
318	40	1	1	3	3	1	1
319	40	1	1	1	1	1	2
320	40	1	1	2	3	1	1
321	41	1	1	2	3	2	2
322	41	1	1	3	1	2	1
323	41	1	1	2	2	1	3
324	41	1	1	3	3	1	2
325	41	2	1	3	1	2	3
326	41	1	1	1	3	1	1
327	41	1	1	1	2	2	1
328	41	1	1	1	3	1	1
329	42	2	2	3	2	2	3
330	42	2	2	1	1	3	2
331	42	2	2	3	1	3	3
332	42	2	2	3	2	1	2
333	42	2	2	3	3	3	2
334	42	1	2	1	3	1	1
335	42	2	2	2	2	3	3
336	42	2	2	3	1	3	3
337	43	1	2	1	2	1	1
338	43	2	2	3	2	2	2
339	43	1	2	2	2	1	3
340	43	2	2	3	1	1	2
341	43	1	2	1	3	2	1
342	43	2	2	3	1	3	3
343	43	1	2	1	1	1	2
344	43	2	2	3	1	3	3
345	44	2	2	2	2	3	2
346	44	1	2	1	2	1	2
347	44	2	2	3	1	3	2
348	44	2	2	3	1	3	1
349	44	2	2	1	2	3	2
350	44	2	2	3	2	3	2
351	44	2	2	3	1	3	1
352	44	1	2	1	1	1	1
353	45	1	2	1	3	1	1
354	45	2	2	2	2	2	3
355	45	2	2	1	1	3	3
356	45	1	2	1	3	1	1
357	45	2	2	3	1	3	3
358	45	2	2	3	2	3	2
359	45	2	2	2	1	3	3
360	45	2	2	3	1	3	3
361	46	1	1	1	3	1	1
362	46	1	1	1	3	1	3
363	46	1	1	1	3	1	1
364	46	1	1	3	3	1	1
365	46	1	1	1	3	2	2
366	46	1	1	1	2	1	1
367	46	1	1	1	3	1	1
368	46	1	1	2	3	1	1
369	47	1	1	1	3	2	1
370	47	1	1	1	2	1	1
371	47	1	1	1	3	1	1
372	47	1	1	1	1	1	2
373	47	2	1	1	1	3	3
374	47	1	1	2	3	2	2
375	47	2	1	3	2	3	2
376	47	2	1	2	3	2	3
377	48	1	2	2	3	1	1
378	48	2	2	3	3	3	3
379	48	2	2	2	2	1	3
380	48	1	2	1	3	1	1
381	48	1	2	1	3	1	1
382	48	2	2	3	2	3	3
383	48	2	2	2	1	2	3
384	48	2	2	2	2	2	3
385	49	2	2	3	1	2	3
386	49	1	2	3	3	1	1
387	49	2	2	2	2	3	3
388	49	2	2	2	1	3	2
389	49	2	2	2	3	3	1
390	49	1	2	2	3	2	1
391	49	2	2	3	3	3	3
392	49	2	2	3	2	3	3
393	50	1	1	2	3	1	1
394	50	1	1	1	1	1	3
395	50	2	1	3	2	2	2
396	50	1	1	1	3	3	1
397	50	1	1	1	2	1	1
398	50	1	1	1	2	1	1
399	50	1	1	1	3	1	1
400	50	2	1	2	1	3	2
401	51	1	2	2	3	1	1
402	51	2	2	2	1	3	2
403	51	2	2	1	2	3	2
404	51	2	2	3	1	1	2
405	51	2	2	3	1	2	3
406	51	2	2	3	2	3	3
407	51	2	2	3	2	3	2
408	51	2	2	3	2	1	2
409	52	1	1	1	3	2	1
410	52	1	1	1	3	1	2
411	52	1	1	1	2	1	3
412	52	1	1	1	3	1	1
413	52	1	1	1	3	1	1
414	52	1	1	1	1	1	1
415	52	1	1	1	3	1	2
416	52	1	1	1	3	1	1
417	53	2	2	3	1	3	3
418	53	2	2	3	1	3	3
419	53	2	2	3	1	3	3
420	53	2	2	3	1	3	3
421	53	2	2	2	1	3	2
422	53	2	2	3	1	2	3
423	53	2	2	2	2	3	2
424	53	2	2	3	3	2	3
425	54	1	2	1	2	1	2
426	54	2	2	2	1	3	2
427	54	2	2	3	3	3	2
428	54	2	2	2	2	2	3
429	54	2	2	3	1	3	2
430	54	2	2	1	1	3	2
431	54	2	2	2	2	3	2
432	54	2	2	3	1	2	1
433	55	2	2	3	2	3	3
434	55	2	2	3	3	2	3
435	55	2	2	2	1	3	2
436	55	2	2	3	1	3	3
437	55	2	2	3	2	2	1
438	55	1	2	3	2	3	1
439	55	2	2	3	2	2	3
440	55	2	2	3	1	3	3
441	56	2	2	3	2	3	2
442	56	1	2	2	3	1	1
443	56	1	2	1	2	2	1
444	56	2	2	3	1	2	3
445	56	2	2	3	1	3	3
446	56	2	2	3	2	3	2
447	56	2	2	3	1	2	2
448	56	2	2	2	2	3	3
449	57	1	1	3	3	1	1
450	57	1	1	1	1	3	2
451	57	1	1	1	3	2	2
452	57	1	1	2	2	1	1
453	57	1	1	1	3	1	2
454	57	1	1	1	3	1	3
455	57	1	1	2	3	1	2
456	57	1	1	1	3	1	1
457	58	1	1	1	3	1	1
458	58	1	1	1	1	1	2
459	58	1	1	1	2	3	1
460	58	1	1	1	2	2	1
461	58	2	1	2	1	3	3
462	58	1	1	2	2	2	1
463	58	2	1	2	1	3	3
464	58	1	1	2	1	3	1
465	59	2	2	3	1	2	1
466	59	2	2	2	2	3	3
467	59	1	2	1	3	1	2
468	59	2	2	2	1	3	2
469	59	2	2	3	2	1	2
470	59	2	2	3	1	3	3
471	59	2	2	3	1	2	2
472	59	2	2	3	2	3	3
473	60	1	1	1	3	1	1
474	60	2	1	2	2	3	2
475	60	1	1	1	2	2	1
476	60	2	1	3	1	2	2
477	60	1	1	1	3	1	2
478	60	1	1	1	2	1	1
479	60	2	1	3	2	3	3
480	60	1	1	1	3	1	3
481	61	1	1	1	3	1	1
482	61	2	1	3	1	3	2
483	61	1	1	2	3	3	1
484	61	2	1	3	2	2	3
485	61	2	1	3	1	3	2
486	61	2	1	2	1	3	2
487	61	1	1	1	3	1	2
488	61	1	1	1	3	1	3
489	62	1	2	1	3	2	1
490	62	2	2	3	2	3	1
491	62	2	2	1	1	2	3
492	62	1	2	1	3	1	1
493	62	2	2	3	1	3	3
494	62	2	2	3	1	3	2
495	62	2	2	1	1	3	1
496	62	2	2	2	2	3	2
497	63	2	1	3	1	3	2
498	63	1	1	1	3	2	3
499	63	1	1	1	3	1	2
500	63	1	1	1	1	1	1
501	63	1	1	1	3	1	1
502	63	1	1	1	3	1	3
503	63	1	1	1	3	2	2
504	63	1	1	1	1	1	1
505	64	1	1	1	2	1	2
506	64	1	1	1	3	1	3
507	64	1	1	1	3	1	1
508	64	1	1	1	3	1	1
509	64	1	1	2	2	1	1
510	64	1	1	3	3	1	1
511	64	2	1	3	1	2	2
512	64	1	1	1	3	2	1
513	65	2	1	3	1	2	3
514	65	1	1	1	3	2	1
515	65	1	1	1	3	2	2
516	65	1	1	1	3	1	1
517	65	1	1	1	3	1	2
518	65	1	1	1	3	1	1
519	65	1	1	2	3	2	2
520	65	1	1	1	3	2	1
521	66	2	2	3	3	3	2
522	66	2	2	2	1	3	3
523	66	2	2	2	3	2	2
524	66	2	2	1	1	1	3
525	66	2	2	3	2	3	3
526	66	1	2	1	2	1	1
527	66	2	2	3	1	3	3
528	66	2	2	3	1	2	3
529	67	1	1	1	3	2	1
530	67	1	1	1	3	2	1
531	67	1	1	1	3	1	1
532	67	1	1	2	2	1	1
533	67	1	1	2	3	3	1
534	67	1	1	1	3	2	1
535	67	1	1	1	2	2	3
536	67	1	1	1	1	2	2
537	68	2	1	3	2	2	2
538	68	1	1	1	2	1	1
539	68	1	1	1	3	2	1
540	68	1	1	2	3	1	1
541	68	1	1	2	3	2	1
542	68	1	1	3	3	1	1
543	68	2	1	2	2	3	3
544	68	2	1	3	1	3	1
545	69	1	1	2	3	1	2
546	69	1	1	1	2	1	1
547	69	2	1	3	1	3	2
548	69	1	1	1	3	1	1
549	69	1	1	2	2	1	1
550	69	1	1	2	3	3	3
551	69	1	1	3	2	2	1
552	69	1	1	1	3	1	1
553	70	1	1	1	3	1	1
554	70	1	1	1	3	1	1
555	70	1	1	1	3	1	3
556	70	2	1	3	1	3	3
557	70	1	1	3	3	1	2
558	70	1	1	1	1	1	2
559	70	2	1	2	1	3	3
560	70	2	1	3	1	2	3
561	71	1	1	2	2	2	1
562	71	1	1	1	2	2	3
563	71	1	1	1	1	3	1
564	71	1	1	1	3	1	1
565	71	2	1	1	1	3	3
566	71	2	1	3	1	3	3
567	71	2	1	1	1	2	1
568	71	1	1	1	3	3	3
569	72	1	1	2	3	1	1
570	72	1	1	1	3	1	1
571	72	1	1	1	3	2	1
572	72	1	1	1	3	1	2
573	72	1	1	3	3	1	1
574	72	1	1	1	1	1	2
575	72	2	1	3	2	3	3
576	72	1	1	1	3	3	3
577	73	2	1	2	1	3	3
578	73	1	1	1	3	1	1
579	73	1	1	2	2	2	1
580	73	1	1	2	2	1	2
581	73	1	1	2	3	2	3
582	73	2	1	1	3	3	3
583	73	2	1	2	2	2	1
584	73	1	1	1	2	1	2
585	74	1	1	1	3	3	1
586	74	1	1	1	3	3	3
587	74	2	1	3	3	1	3
588	74	1	1	2	3	1	1
589	74	1	1	1	3	2	3
590	74	1	1	1	3	1	1
591	74	1	1	2	3	1	1
592	74	1	1	1	1	1	1
593	75	2	2	2	2	2	2
594	75	2	2	3	1	2	2
595	75	2	2	2	1	1	2
596	75	2	2	3	2	3	3
597	75	2	2	3	2	3	2
598	75	2	2	3	1	3	2
599	75	2	2	3	2	3	2
600	75	2	2	3	2	3	2
601	76	2	1	2	3	2	3
602	76	1	1	1	3	1	1
603	76	1	1	1	3	1	1
604	76	2	1	2	1	2	3
605	76	1	1	1	1	3	1
606	76	1	1	1	3	1	1
607	76	1	1	1	2	1	2
608	76	1	1	1	3	3	2
609	77	1	2	2	3	1	1
610	77	2	2	2	2	3	3
611	77	2	2	2	3	3	2
612	77	2	2	1	1	2	3
613	77	2	2	2	3	3	2
614	77	2	2	3	1	1	3
615	77	2	2	2	1	3	2
616	77	2	2	2	2	2	3
617	78	2	2	2	1	3	2
618	78	2	2	2	1	2	2
619	78	2	2	3	1	3	3
620	78	2	2	3	1	2	1
621	78	2	2	3	1	2	3
622	78	2	2	2	1	2	3
623	78	1	2	2	3	1	1
624	78	1	2	1	3	3	1
625	79	1	2	2	3	2	1
626	79	2	2	1	1	2	3
627	79	1	2	1	3	1	1
628	79	2	2	3	1	2	3
629	79	2	2	3	3	1	3
630	79	2	2	2	2	2	2
631	79	1	2	1	1	1	2
632	79	2	2	2	2	3	2
633	80	1	1	2	3	1	1
634	80	2	1	3	3	2	1
635	80	1	1	2	3	2	1
636	80	1	1	2	3	3	1
637	80	1	1	1	3	1	2
638	80	1	1	1	2	1	1
639	80	1	1	1	3	3	1
640	80	1	1	1	3	1	1
