g	c1	c2	c3	c4	id	g	GClass#1	GClass#2	GClass#	Cluster#1	Cluster#2	Cluster#	joint2_1_1	joint2_1_2	joint2_2_1	joint2_2_2
2	1	2	1	1	16	2	    0.146767	    0.853233	2	    0.997435	  0.00256468	1	    0.987892	   0.0121078	    0.999077	  0.00092313
3	3	3	2	2	17	3	    0.998381	  0.00161923	1	    0.132516	    0.867484	2	    0.131648	    0.868352	    0.667884	    0.332116
3	3	1	3	3	18	3	    0.998381	  0.00161923	1	 0.000397159	    0.999603	2	 0.000389465	    0.999611	  0.00514151	    0.994858
3	3	2	2	2	19	3	    0.998381	  0.00161923	1	  0.00991756	    0.990082	2	  0.00974636	    0.990254	    0.115478	    0.884522
3	2	1	1	3	20	3	    0.998381	  0.00161923	1	   0.0944571	    0.905543	2	   0.0936725	    0.906328	    0.578227	    0.421773
3	3	2	2	2	21	3	    0.998381	  0.00161923	1	  0.00991756	    0.990082	2	  0.00974636	    0.990254	    0.115478	    0.884522
3	1	3	1	2	22	3	    0.998381	  0.00161923	1	    0.987593	   0.0124071	1	    0.987574	   0.0124257	    0.999052	  0.00094765
3	3	2	3	3	23	3	    0.998381	  0.00161923	1	  0.00120572	    0.998794	2	   0.0011826	    0.998817	   0.0154624	    0.984538
3	2	1	3	3	24	3	    0.998381	  0.00161923	1	  0.00235996	     0.99764	2	  0.00231535	    0.997685	    0.029864	    0.970136
4	1	3	3	2	25	4	     0.82152	     0.17848	1	    0.697745	    0.302255	1	    0.640884	    0.359116	    0.959468	   0.0405316
4	2	2	3	3	26	4	     0.82152	     0.17848	1	   0.0210212	    0.978979	2	  0.00700305	    0.992997	   0.0855449	    0.914455
4	3	1	3	3	27	4	     0.82152	     0.17848	1	  0.00123761	    0.998762	2	 0.000389465	    0.999611	  0.00514151	    0.994858
4	1	3	1	1	28	4	     0.82152	     0.17848	1	    0.999336	 0.000663846	1	    0.999205	 0.000795039	     0.99994	 5.99812e-05
4	2	3	2	2	29	4	     0.82152	     0.17848	1	    0.554559	    0.445441	1	    0.474524	    0.525476	    0.922949	   0.0770513
4	2	3	1	1	30	4	     0.82152	     0.17848	1	    0.994947	  0.00505329	1	    0.993949	  0.00605148	    0.999541	 0.000458781
4	3	1	3	3	31	4	     0.82152	     0.17848	1	  0.00123761	    0.998762	2	 0.000389465	    0.999611	  0.00514151	    0.994858
4	3	2	2	2	32	4	     0.82152	     0.17848	1	   0.0286172	    0.971383	2	  0.00974636	    0.990254	    0.115478	    0.884522
5	3	2	2	2	33	5	    0.951152	    0.048848	1	   0.0149111	    0.985089	2	  0.00974636	    0.990254	    0.115478	    0.884522
5	2	3	2	2	34	5	    0.951152	    0.048848	1	    0.496429	    0.503571	2	    0.474524	    0.525476	    0.922949	   0.0770513
5	1	3	1	1	35	5	    0.951152	    0.048848	1	    0.999241	 0.000759133	1	    0.999205	 0.000795039	     0.99994	 5.99812e-05
5	1	3	1	1	36	5	    0.951152	    0.048848	1	    0.999241	 0.000759133	1	    0.999205	 0.000795039	     0.99994	 5.99812e-05
5	3	1	3	1	37	5	    0.951152	    0.048848	1	   0.0197084	    0.980292	2	   0.0130547	    0.986945	    0.149266	    0.850734
5	3	3	2	3	38	5	    0.951152	    0.048848	1	   0.0863613	    0.913639	2	   0.0659577	    0.934042	    0.483653	    0.516347
5	3	2	3	2	39	5	    0.951152	    0.048848	1	  0.00400502	    0.995995	2	  0.00253553	    0.997464	   0.0326184	    0.967382
5	3	2	2	3	40	5	    0.951152	    0.048848	1	  0.00714064	    0.992859	2	  0.00456342	    0.995437	   0.0573234	    0.942677
6	3	1	2	2	41	6	    0.995808	  0.00419186	1	  0.00338745	    0.996613	2	  0.00322832	    0.996772	   0.0411913	    0.958809
6	2	2	2	2	42	6	    0.995808	  0.00419186	1	     0.05698	     0.94302	2	   0.0553784	    0.944622	    0.437454	    0.562546
6	3	1	3	3	43	6	    0.995808	  0.00419186	1	 0.000409384	    0.999591	2	 0.000389465	    0.999611	  0.00514151	    0.994858
6	2	3	1	1	44	6	    0.995808	  0.00419186	1	    0.993972	  0.00602803	1	    0.993949	  0.00605148	    0.999541	 0.000458781
6	2	1	1	1	45	6	    0.995808	  0.00419186	1	    0.779055	    0.220945	1	    0.778214	    0.221786	    0.978967	   0.0210335
6	3	1	3	3	46	6	    0.995808	  0.00419186	1	 0.000409384	    0.999591	2	 0.000389465	    0.999611	  0.00514151	    0.994858
6	3	1	3	2	47	6	    0.995808	  0.00419186	1	  0.00087828	    0.999122	2	 0.000835783	    0.999164	   0.0109738	    0.989026
6	3	2	3	3	48	6	    0.995808	  0.00419186	1	  0.00124246	    0.998758	2	   0.0011826	    0.998817	   0.0154624	    0.984538
7	1	1	2	2	49	7	    0.997392	  0.00260792	1	    0.130018	    0.869982	2	    0.128628	    0.871372	    0.661939	    0.338061
7	3	2	3	3	50	7	    0.997392	  0.00260792	1	  0.00121984	     0.99878	2	   0.0011826	    0.998817	   0.0154624	    0.984538
7	2	1	2	3	51	7	    0.997392	  0.00260792	1	   0.0091601	     0.99084	2	  0.00890559	    0.991094	    0.106497	    0.893503
7	1	1	2	1	52	7	    0.997392	  0.00260792	1	    0.700784	    0.299216	1	    0.700083	    0.299917	    0.968714	   0.0312863
7	3	1	3	1	53	7	    0.997392	  0.00260792	1	     0.01341	     0.98659	2	   0.0130547	    0.986945	    0.149266	    0.850734
7	3	1	3	3	54	7	    0.997392	  0.00260792	1	 0.000401857	    0.999598	2	 0.000389465	    0.999611	  0.00514151	    0.994858
7	3	1	2	2	55	7	    0.997392	  0.00260792	1	  0.00332732	    0.996673	2	  0.00322832	    0.996772	   0.0411913	    0.958809
7	2	3	2	3	56	7	    0.997392	  0.00260792	1	    0.297519	    0.702481	2	     0.29608	     0.70392	    0.848008	    0.151992
8	1	1	1	1	57	8	      0.1485	      0.8515	2	    0.992283	  0.00771653	1	    0.964092	   0.0359079	      0.9972	  0.00280002
8	2	3	1	2	58	8	      0.1485	      0.8515	2	    0.980823	   0.0191771	1	    0.912179	   0.0878205	    0.992794	  0.00720581
8	3	2	3	2	59	8	      0.1485	      0.8515	2	   0.0281511	    0.971849	2	  0.00253553	    0.997464	   0.0326184	    0.967382
8	3	3	3	3	60	8	      0.1485	      0.8515	2	    0.168527	    0.831473	2	   0.0179112	    0.982089	    0.194794	    0.805206
8	1	3	1	1	61	8	      0.1485	      0.8515	2	    0.999831	 0.000169137	1	    0.999205	 0.000795039	     0.99994	 5.99812e-05
8	1	2	3	1	62	8	      0.1485	      0.8515	2	    0.913911	   0.0860893	1	      0.6469	      0.3531	    0.960477	   0.0395234
8	1	3	1	1	63	8	      0.1485	      0.8515	2	    0.999831	 0.000169137	1	    0.999205	 0.000795039	     0.99994	 5.99812e-05
8	2	1	2	3	64	8	      0.1485	      0.8515	2	   0.0920045	    0.907996	2	  0.00890559	    0.991094	    0.106497	    0.893503
9	2	2	2	3	65	9	    0.999595	 0.000404812	1	   0.0266774	    0.973323	2	   0.0265805	    0.973419	    0.265897	    0.734103
9	3	1	3	3	66	9	    0.999595	 0.000404812	1	 0.000391388	    0.999609	2	 0.000389465	    0.999611	  0.00514151	    0.994858
9	3	1	3	1	67	9	    0.999595	 0.000404812	1	   0.0131099	     0.98689	2	   0.0130547	    0.986945	    0.149266	    0.850734
9	1	1	1	1	68	9	    0.999595	 0.000404812	1	    0.964105	   0.0358945	1	    0.964092	   0.0359079	      0.9972	  0.00280002
9	3	2	3	2	69	9	    0.999595	 0.000404812	1	  0.00254771	    0.997452	2	  0.00253553	    0.997464	   0.0326184	    0.967382
9	3	1	3	3	70	9	    0.999595	 0.000404812	1	 0.000391388	    0.999609	2	 0.000389465	    0.999611	  0.00514151	    0.994858
9	3	2	3	3	71	9	    0.999595	 0.000404812	1	  0.00118838	    0.998812	2	   0.0011826	    0.998817	   0.0154624	    0.984538
9	3	1	3	1	72	9	    0.999595	 0.000404812	1	   0.0131099	     0.98689	2	   0.0130547	    0.986945	    0.149266	    0.850734
10	1	3	2	1	73	10	    0.998275	  0.00172452	1	    0.990946	  0.00905449	1	    0.990931	  0.00906894	    0.999311	 0.000689479
10	3	1	3	2	74	10	    0.998275	  0.00172452	1	 0.000853266	    0.999147	2	 0.000835783	    0.999164	   0.0109738	    0.989026
10	3	2	1	2	75	10	    0.998275	  0.00172452	1	    0.102555	    0.897445	2	    0.101695	    0.898305	    0.600263	    0.399737
10	3	1	2	3	76	10	    0.998275	  0.00172452	1	  0.00153752	    0.998462	2	  0.00150628	    0.998494	   0.0196177	    0.980382
10	3	1	3	3	77	10	    0.998275	  0.00172452	1	  0.00039766	    0.999602	2	 0.000389465	    0.999611	  0.00514151	    0.994858
10	3	1	2	2	78	10	    0.998275	  0.00172452	1	  0.00329379	    0.996706	2	  0.00322832	    0.996772	   0.0411913	    0.958809
10	2	3	3	3	79	10	    0.998275	  0.00172452	1	   0.0988372	    0.901163	2	   0.0979882	    0.902012	    0.590326	    0.409674
10	3	2	3	1	80	10	    0.998275	  0.00172452	1	   0.0391765	    0.960824	2	   0.0386434	    0.961357	    0.347766	    0.652234
11	1	1	1	1	81	11	    0.126004	    0.873996	2	    0.993028	  0.00697175	1	    0.964092	   0.0359079	      0.9972	  0.00280002
11	1	3	3	2	82	11	    0.126004	    0.873996	2	    0.919325	   0.0806745	1	    0.640884	    0.359116	    0.959468	   0.0405316
11	3	1	1	3	83	11	    0.126004	    0.873996	2	    0.165673	    0.834327	2	   0.0170557	    0.982944	    0.187099	    0.812901
11	1	3	1	1	84	11	    0.126004	    0.873996	2	    0.999847	 0.000152601	1	    0.999205	 0.000795039	     0.99994	 5.99812e-05
11	3	3	3	3	85	11	    0.126004	    0.873996	2	    0.172506	    0.827494	2	   0.0179112	    0.982089	    0.194794	    0.805206
11	1	3	1	1	86	11	    0.126004	    0.873996	2	    0.999847	 0.000152601	1	    0.999205	 0.000795039	     0.99994	 5.99812e-05
11	2	1	3	2	87	11	    0.126004	    0.873996	2	   0.0548062	    0.945194	2	  0.00495775	    0.995042	   0.0619929	    0.938007
11	1	3	1	1	88	11	    0.126004	    0.873996	2	    0.999847	 0.000152601	1	    0.999205	 0.000795039	     0.99994	 5.99812e-05
12	1	3	1	1	89	12	    0.999226	 0.000773541	1	    0.999206	 0.000794471	1	    0.999205	 0.000795039	     0.99994	 5.99812e-05
12	3	1	2	2	90	12	    0.999226	 0.000773541	1	  0.00325768	    0.996742	2	  0.00322832	    0.996772	   0.0411913	    0.958809
12	3	1	3	3	91	12	    0.999226	 0.000773541	1	  0.00039314	    0.999607	2	 0.000389465	    0.999611	  0.00514151	    0.994858
12	2	2	3	3	92	12	    0.999226	 0.000773541	1	   0.0070638	    0.992936	2	  0.00700305	    0.992997	   0.0855449	    0.914455
12	2	2	2	2	93	12	    0.999226	 0.000773541	1	    0.055674	    0.944326	2	   0.0553784	    0.944622	    0.437454	    0.562546
12	2	1	2	2	94	12	    0.999226	 0.000773541	1	   0.0190694	    0.980931	2	   0.0189264	    0.981074	    0.203754	    0.796246
12	3	2	3	2	95	12	    0.999226	 0.000773541	1	   0.0025588	    0.997441	2	  0.00253553	    0.997464	   0.0326184	    0.967382
12	3	1	1	2	96	12	    0.999226	 0.000773541	1	    0.036143	    0.963857	2	   0.0359149	    0.964085	     0.33072	     0.66928
13	3	2	3	3	97	13	    0.996292	  0.00370839	1	  0.00123556	    0.998764	2	   0.0011826	    0.998817	   0.0154624	    0.984538
13	3	1	2	3	98	13	    0.996292	  0.00370839	1	  0.00157345	    0.998427	2	  0.00150628	    0.998494	   0.0196177	    0.980382
13	3	2	2	3	99	13	    0.996292	  0.00370839	1	  0.00475907	    0.995241	2	  0.00456342	    0.995437	   0.0573234	    0.942677
13	1	3	1	1	100	13	    0.996292	  0.00370839	1	    0.999208	 0.000792313	1	    0.999205	 0.000795039	     0.99994	 5.99812e-05
13	3	2	3	2	101	13	    0.996292	  0.00370839	1	  0.00264709	    0.997353	2	  0.00253553	    0.997464	   0.0326184	    0.967382
13	1	1	3	3	102	13	    0.996292	  0.00370839	1	   0.0180902	     0.98191	2	   0.0174479	    0.982552	    0.190643	    0.809357
13	2	2	1	1	103	13	    0.996292	  0.00370839	1	    0.914551	   0.0854492	1	    0.914259	   0.0857411	     0.99298	  0.00702049
13	3	1	3	3	104	13	    0.996292	  0.00370839	1	 0.000407087	    0.999593	2	 0.000389465	    0.999611	  0.00514151	    0.994858
14	1	3	1	2	105	14	 7.95714e-05	     0.99992	2	    0.999051	 0.000948564	1	    0.987574	   0.0124257	    0.999052	  0.00094765
14	1	1	1	1	106	14	 7.95714e-05	     0.99992	2	    0.997197	  0.00280266	1	    0.964092	   0.0359079	      0.9972	  0.00280002
14	1	3	2	1	107	14	 7.95714e-05	     0.99992	2	     0.99931	 0.000690146	1	    0.990931	  0.00906894	    0.999311	 0.000689479
14	1	2	1	2	108	14	 7.95714e-05	     0.99992	2	    0.985588	   0.0144124	1	    0.837655	    0.162345	    0.985599	   0.0144007
14	1	3	1	1	109	14	 7.95714e-05	     0.99992	2	     0.99994	 6.00397e-05	1	    0.999205	 0.000795039	     0.99994	 5.99812e-05
14	1	3	2	1	110	14	 7.95714e-05	     0.99992	2	     0.99931	 0.000690146	1	    0.990931	  0.00906894	    0.999311	 0.000689479
14	1	3	2	1	111	14	 7.95714e-05	     0.99992	2	     0.99931	 0.000690146	1	    0.990931	  0.00906894	    0.999311	 0.000689479
14	1	2	1	1	112	14	 7.95714e-05	     0.99992	2	    0.999076	  0.00092402	1	    0.987892	   0.0121078	    0.999077	  0.00092313
15	3	1	3	3	113	15	     0.97891	   0.0210897	1	 0.000489684	     0.99951	2	 0.000389465	    0.999611	  0.00514151	    0.994858
15	2	2	2	3	114	15	     0.97891	   0.0210897	1	   0.0316276	    0.968372	2	   0.0265805	    0.973419	    0.265897	    0.734103
15	1	3	1	3	115	15	     0.97891	   0.0210897	1	    0.974209	   0.0257906	1	    0.973698	   0.0263024	    0.997968	  0.00203234
15	3	1	1	1	116	15	     0.97891	   0.0210897	1	    0.381586	    0.618414	2	    0.370707	    0.629293	    0.886543	    0.113457
15	3	2	3	2	117	15	     0.97891	   0.0210897	1	  0.00316997	     0.99683	2	  0.00253553	    0.997464	   0.0326184	    0.967382
15	3	1	3	3	118	15	     0.97891	   0.0210897	1	 0.000489684	     0.99951	2	 0.000389465	    0.999611	  0.00514151	    0.994858
15	3	1	3	2	119	15	     0.97891	   0.0210897	1	  0.00104959	     0.99895	2	 0.000835783	    0.999164	   0.0109738	    0.989026
15	1	3	3	1	120	15	     0.97891	   0.0210897	1	    0.966443	   0.0335571	1	    0.965777	   0.0342227	    0.997336	  0.00266432
16	3	3	1	2	121	16	   0.0400915	    0.959909	2	    0.945609	   0.0543911	1	    0.635543	    0.364457	    0.958559	   0.0414409
16	1	2	1	1	122	16	   0.0400915	    0.959909	2	    0.998628	  0.00137154	1	    0.987892	   0.0121078	    0.999077	  0.00092313
16	1	3	1	1	123	16	   0.0400915	    0.959909	2	    0.999911	 8.94508e-05	1	    0.999205	 0.000795039	     0.99994	 5.99812e-05
16	3	1	3	2	124	16	   0.0400915	    0.959909	2	   0.0105673	    0.989433	2	 0.000835783	    0.999164	   0.0109738	    0.989026
16	1	3	1	2	125	16	   0.0400915	    0.959909	2	    0.998592	  0.00140782	1	    0.987574	   0.0124257	    0.999052	  0.00094765
16	3	1	1	1	126	16	   0.0400915	    0.959909	2	    0.865863	    0.134137	1	    0.370707	    0.629293	    0.886543	    0.113457
16	2	2	3	3	127	16	   0.0400915	    0.959909	2	    0.082396	    0.917604	2	  0.00700305	    0.992997	   0.0855449	    0.914455
16	1	3	2	2	128	16	   0.0400915	    0.959909	2	    0.984572	   0.0154285	1	    0.873575	    0.126425	    0.989207	   0.0107926
17	1	3	1	1	129	17	 0.000907297	    0.999093	2	    0.999939	 6.06482e-05	1	    0.999205	 0.000795039	     0.99994	 5.99812e-05
17	1	3	1	1	130	17	 0.000907297	    0.999093	2	    0.999939	 6.06482e-05	1	    0.999205	 0.000795039	     0.99994	 5.99812e-05
17	3	2	2	2	131	17	 0.000907297	    0.999093	2	    0.115382	    0.884618	2	  0.00974636	    0.990254	    0.115478	    0.884522
17	2	3	1	1	132	17	 0.000907297	    0.999093	2	    0.999536	 0.000463855	1	    0.993949	  0.00605148	    0.999541	 0.000458781
17	2	3	2	1	133	17	 0.000907297	    0.999093	2	    0.994694	  0.00530628	1	    0.934554	   0.0654457	    0.994748	  0.00525167
17	1	2	2	1	134	17	 0.000907297	    0.999093	2	    0.989381	   0.0106186	1	    0.876445	    0.123555	    0.989484	    0.010516
17	1	2	1	1	135	17	 0.000907297	    0.999093	2	    0.999067	 0.000933278	1	    0.987892	   0.0121078	    0.999077	  0.00092313
17	2	3	1	1	136	17	 0.000907297	    0.999093	2	    0.999536	 0.000463855	1	    0.993949	  0.00605148	    0.999541	 0.000458781
18	2	3	1	1	137	18	   0.0241843	    0.975816	2	    0.999406	 0.000594037	1	    0.993949	  0.00605148	    0.999541	 0.000458781
18	1	2	1	1	138	18	   0.0241843	    0.975816	2	    0.998806	  0.00119362	1	    0.987892	   0.0121078	    0.999077	  0.00092313
18	1	3	2	3	139	18	   0.0241843	    0.975816	2	    0.971933	   0.0280672	1	    0.762947	    0.237053	    0.977112	   0.0228877
18	1	1	1	3	140	18	   0.0241843	    0.975816	2	    0.901569	   0.0984305	1	    0.441604	    0.558396	    0.912969	   0.0870309
18	1	2	3	3	141	18	   0.0241843	    0.975816	2	    0.408332	    0.591668	2	   0.0512008	    0.948799	    0.417183	    0.582817
18	1	2	2	1	142	18	   0.0241843	    0.975816	2	     0.98675	   0.0132498	1	    0.876445	    0.123555	    0.989484	    0.010516
18	2	1	3	3	143	18	   0.0241843	    0.975816	2	   0.0291978	    0.970802	2	  0.00231535	    0.997685	    0.029864	    0.970136
18	2	3	3	1	144	18	   0.0241843	    0.975816	2	    0.975294	    0.024706	1	    0.786693	    0.213307	    0.979968	   0.0200318
19	3	1	3	3	145	19	    0.990692	  0.00930823	1	 0.000433698	    0.999566	2	 0.000389465	    0.999611	  0.00514151	    0.994858
19	3	1	3	3	146	19	    0.990692	  0.00930823	1	 0.000433698	    0.999566	2	 0.000389465	    0.999611	  0.00514151	    0.994858
19	3	1	1	2	147	19	    0.990692	  0.00930823	1	    0.038659	    0.961341	2	   0.0359149	    0.964085	     0.33072	     0.66928
19	3	1	3	2	148	19	    0.990692	  0.00930823	1	  0.00093015	     0.99907	2	 0.000835783	    0.999164	   0.0109738	    0.989026
19	1	1	3	3	149	19	    0.990692	  0.00930823	1	     0.01906	     0.98094	2	   0.0174479	    0.982552	    0.190643	    0.809357
19	3	3	2	3	150	19	    0.990692	  0.00930823	1	   0.0698457	    0.930154	2	   0.0659577	    0.934042	    0.483653	    0.516347
19	1	3	1	1	151	19	    0.990692	  0.00930823	1	    0.999212	 0.000788197	1	    0.999205	 0.000795039	     0.99994	 5.99812e-05
19	1	3	1	2	152	19	    0.990692	  0.00930823	1	    0.987681	   0.0123189	1	    0.987574	   0.0124257	    0.999052	  0.00094765
20	2	1	3	1	153	20	    0.948004	    0.051996	1	   0.0958077	    0.904192	2	    0.073034	    0.926966	    0.511024	    0.488976
20	3	1	3	2	154	20	    0.948004	    0.051996	1	  0.00136292	    0.998637	2	 0.000835783	    0.999164	   0.0109738	    0.989026
20	2	2	3	3	155	20	    0.948004	    0.051996	1	   0.0110869	    0.988913	2	  0.00700305	    0.992997	   0.0855449	    0.914455
20	1	3	2	1	156	20	    0.948004	    0.051996	1	    0.991367	  0.00863324	1	    0.990931	  0.00906894	    0.999311	 0.000689479
20	3	1	3	3	157	20	    0.948004	    0.051996	1	 0.000636552	    0.999363	2	 0.000389465	    0.999611	  0.00514151	    0.994858
20	3	2	2	3	158	20	    0.948004	    0.051996	1	  0.00730673	    0.992693	2	  0.00456342	    0.995437	   0.0573234	    0.942677
20	1	1	1	1	159	20	    0.948004	    0.051996	1	    0.965814	   0.0341865	1	    0.964092	   0.0359079	      0.9972	  0.00280002
20	3	3	1	2	160	20	    0.948004	    0.051996	1	    0.652338	    0.347662	1	    0.635543	    0.364457	    0.958559	   0.0414409
21	2	3	1	1	161	21	    0.984456	   0.0155443	1	    0.994035	  0.00596454	1	    0.993949	  0.00605148	    0.999541	 0.000458781
21	1	1	2	3	162	21	    0.984456	   0.0155443	1	   0.0707473	    0.929253	2	   0.0643328	    0.935667	    0.476992	    0.523008
21	3	1	3	3	163	21	    0.984456	   0.0155443	1	 0.000463332	    0.999537	2	 0.000389465	    0.999611	  0.00514151	    0.994858
21	1	1	2	3	164	21	    0.984456	   0.0155443	1	   0.0707473	    0.929253	2	   0.0643328	    0.935667	    0.476992	    0.523008
21	2	3	1	1	165	21	    0.984456	   0.0155443	1	    0.994035	  0.00596454	1	    0.993949	  0.00605148	    0.999541	 0.000458781
21	3	2	3	3	166	21	    0.984456	   0.0155443	1	  0.00140457	    0.998595	2	   0.0011826	    0.998817	   0.0154624	    0.984538
21	2	1	3	3	167	21	    0.984456	   0.0155443	1	  0.00274358	    0.997256	2	  0.00231535	    0.997685	    0.029864	    0.970136
21	3	2	1	3	168	21	    0.984456	   0.0155443	1	   0.0557076	    0.944292	2	   0.0500886	    0.949911	     0.41157	     0.58843
22	1	3	1	2	169	22	   0.0825503	     0.91745	2	    0.998105	  0.00189517	1	    0.987574	   0.0124257	    0.999052	  0.00094765
22	3	1	3	2	170	22	   0.0825503	     0.91745	2	   0.0101369	    0.989863	2	 0.000835783	    0.999164	   0.0109738	    0.989026
22	3	2	2	2	171	22	   0.0825503	     0.91745	2	    0.106749	    0.893251	2	  0.00974636	    0.990254	    0.115478	    0.884522
22	3	2	1	1	172	22	   0.0825503	     0.91745	2	    0.933339	   0.0666612	1	    0.641599	    0.358401	    0.959589	    0.040411
22	1	3	1	1	173	22	   0.0825503	     0.91745	2	    0.999879	 0.000120661	1	    0.999205	 0.000795039	     0.99994	 5.99812e-05
22	2	3	1	1	174	22	   0.0825503	     0.91745	2	     0.99908	  0.00092046	1	    0.993949	  0.00605148	    0.999541	 0.000458781
22	3	3	1	1	175	22	   0.0825503	     0.91745	2	     0.99461	  0.00539032	1	    0.965004	   0.0349956	    0.997273	   0.0027265
22	3	2	1	2	176	22	   0.0825503	     0.91745	2	    0.559106	    0.440894	1	    0.101695	    0.898305	    0.600263	    0.399737
23	1	1	3	3	177	23	    0.991939	   0.0080614	1	   0.0188441	    0.981156	2	   0.0174479	    0.982552	    0.190643	    0.809357
23	1	2	2	3	178	23	    0.991939	   0.0080614	1	    0.177361	    0.822639	2	    0.172831	    0.827169	    0.734855	    0.265145
23	1	1	3	3	179	23	    0.991939	   0.0080614	1	   0.0188441	    0.981156	2	   0.0174479	    0.982552	    0.190643	    0.809357
23	2	2	1	2	180	23	    0.991939	   0.0080614	1	    0.406744	    0.593256	2	     0.40274	     0.59726	    0.899442	    0.100558
23	1	3	2	1	181	23	    0.991939	   0.0080614	1	    0.990999	  0.00900139	1	    0.990931	  0.00906894	    0.999311	 0.000689479
23	2	2	3	3	182	23	    0.991939	   0.0080614	1	   0.0076362	    0.992364	2	  0.00700305	    0.992997	   0.0855449	    0.914455
23	2	1	3	3	183	23	    0.991939	   0.0080614	1	  0.00253743	    0.997463	2	  0.00231535	    0.997685	    0.029864	    0.970136
23	3	1	1	3	184	23	    0.991939	   0.0080614	1	   0.0184265	    0.981574	2	   0.0170557	    0.982944	    0.187099	    0.812901
24	3	1	1	3	185	24	    0.999877	 0.000123153	1	   0.0170766	    0.982923	2	   0.0170557	    0.982944	    0.187099	    0.812901
24	3	1	3	1	186	24	    0.999877	 0.000123153	1	   0.0130715	    0.986928	2	   0.0130547	    0.986945	    0.149266	    0.850734
24	3	1	3	1	187	24	    0.999877	 0.000123153	1	   0.0130715	    0.986928	2	   0.0130547	    0.986945	    0.149266	    0.850734
24	2	2	2	2	188	24	    0.999877	 0.000123153	1	   0.0554255	    0.944575	2	   0.0553784	    0.944622	    0.437454	    0.562546
24	3	1	3	3	189	24	    0.999877	 0.000123153	1	  0.00039005	     0.99961	2	 0.000389465	    0.999611	  0.00514151	    0.994858
24	3	1	3	3	190	24	    0.999877	 0.000123153	1	  0.00039005	     0.99961	2	 0.000389465	    0.999611	  0.00514151	    0.994858
24	3	1	3	3	191	24	    0.999877	 0.000123153	1	  0.00039005	     0.99961	2	 0.000389465	    0.999611	  0.00514151	    0.994858
24	3	2	2	1	192	24	    0.999877	 0.000123153	1	    0.134743	    0.865257	2	    0.134677	    0.865323	    0.673678	    0.326322
25	3	1	2	3	193	25	    0.940978	    0.059022	1	  0.00257526	    0.997425	2	  0.00150628	    0.998494	   0.0196177	    0.980382
25	1	2	1	1	194	25	    0.940978	    0.059022	1	    0.988552	   0.0114477	1	    0.987892	   0.0121078	    0.999077	  0.00092313
25	3	2	2	2	195	25	    0.940978	    0.059022	1	   0.0159868	    0.984013	2	  0.00974636	    0.990254	    0.115478	    0.884522
25	2	3	1	1	196	25	    0.940978	    0.059022	1	    0.994279	  0.00572138	1	    0.993949	  0.00605148	    0.999541	 0.000458781
25	3	1	3	3	197	25	    0.940978	    0.059022	1	  0.00066994	     0.99933	2	 0.000389465	    0.999611	  0.00514151	    0.994858
25	1	1	3	2	198	25	    0.940978	    0.059022	1	   0.0543801	     0.94562	2	   0.0367246	    0.963275	     0.33586	     0.66414
25	3	3	1	1	199	25	    0.940978	    0.059022	1	    0.966909	    0.033091	1	    0.965004	   0.0349956	    0.997273	   0.0027265
