g	x	w	y1	y2	y3	id	g	GClass#1	GClass#2	GClass#	Cluster#1	Cluster#2	Cluster#	joint2_1_1	joint2_1_2	joint2_2_1	joint2_2_2
3	-0.19095303961916	0.654760223993322	0.887839468579346	3.66849377749542	1.70916726210542	23	3	 0.000780533	    0.999219	2	 0.000589648	     0.99941	2	   0.0172198	     0.98278	 0.000576657	    0.999423
3	-0.930515357617801	0.654760223993322	3.06221046113754	1.18437307277593	2.36704470006789	24	3	 0.000780533	    0.999219	2	 9.66853e-05	    0.999903	2	  0.00286249	    0.997138	 9.45248e-05	    0.999905
3	-1.26175580202761	0.654760223993322	0.205000244171687	0.242388611930577	-0.63720887876017	25	3	 0.000780533	    0.999219	2	    0.742233	    0.257767	1	    0.988682	   0.0113182	    0.742041	    0.257959
3	0.917237446857066	0.654760223993322	-0.0243277151700445	2.35847628372796	1.72649874732411	26	3	 0.000780533	    0.999219	2	   0.0343458	    0.965654	2	    0.516399	    0.483601	   0.0339693	    0.966031
3	-0.650567551014101	0.654760223993322	3.22737475432954	-0.188297386842709	0.27824340265465	27	3	 0.000780533	    0.999219	2	  0.00240815	    0.997592	2	   0.0669607	    0.933039	  0.00235772	    0.997642
3	0.338306200001427	0.654760223993322	3.1953441304346	0.591820039671599	-0.233130589368981	28	3	 0.000780533	    0.999219	2	  0.00144358	    0.998556	2	   0.0411859	    0.958814	  0.00141253	    0.998587
3	1.54143769561005	0.654760223993322	0.772515546839223	1.52012038441352	0.378507791889889	29	3	 0.000780533	    0.999219	2	   0.0689215	    0.931079	2	    0.690486	    0.309514	   0.0684359	    0.931564
3	0.217938248291927	0.654760223993322	-1.40953802636953	-0.311665019266125	-1.50268376667482	30	3	 0.000780533	    0.999219	2	    0.996302	  0.00369759	1	    0.999878	 0.000122293	      0.9963	  0.00370038
4	1.27407379611251	2.25461438140723	-0.43242997230287	1.13073595116948	-0.42803350065468	31	4	     0.97488	   0.0251196	1	    0.982685	   0.0173151	1	    0.988823	   0.0111769	    0.744465	    0.255535
4	0.350635461542934	2.25461438140723	1.55771188860058	0.20093549877407	1.63997036454076	32	4	     0.97488	   0.0251196	1	    0.437905	    0.562095	2	    0.448516	    0.551484	   0.0260834	    0.973917
4	1.03312545483952	2.25461438140723	1.34899226158638	0.636805499368148	-0.254145767841719	33	4	     0.97488	   0.0251196	1	    0.760133	    0.239867	1	    0.777067	    0.222933	    0.102965	    0.897035
4	0.567460268280486	2.25461438140723	-1.07463159377551	0.240755749368654	0.544845801484191	34	4	     0.97488	   0.0251196	1	     0.99647	  0.00353031	1	    0.997916	  0.00208439	    0.940354	   0.0596458
4	-0.610372403926818	2.25461438140723	-0.335082418815194	2.15752474248753	-1.58941652122607	35	4	     0.97488	   0.0251196	1	    0.960328	   0.0396725	1	    0.971455	   0.0285446	    0.528462	    0.471538
4	0.104374651285497	2.25461438140723	2.75083241261864	3.41951325355953	2.07253166481527	36	4	     0.97488	   0.0251196	1	 0.000250945	    0.999749	2	 0.000257192	    0.999743	 8.47157e-06	    0.999992
4	0.0995820015270847	2.25461438140723	1.99720657393103	0.894498077628106	0.790684499232722	37	4	     0.97488	   0.0251196	1	    0.185135	    0.814865	2	    0.189709	    0.810291	  0.00765083	    0.992349
4	0.842274698613664	2.25461438140723	1.79190783602721	0.818826353705481	-0.0721034823742581	38	4	     0.97488	   0.0251196	1	    0.449378	    0.550622	2	    0.460253	    0.539747	   0.0273135	    0.972687
4	0.309210144376757	2.25461438140723	-1.23297630910884	-0.0408471905190615	-1.11465739715198	39	4	     0.97488	   0.0251196	1	    0.999461	 0.000538694	1	    0.999689	 0.000311243	    0.990634	  0.00936593
4	-0.187489624259462	2.25461438140723	-3.17720974034715	0.683770623222954	-0.170369420241046	40	4	     0.97488	   0.0251196	1	    0.999901	 9.93508e-05	1	    0.999943	 5.72162e-05	    0.998265	  0.00173457
5	1.36976452047748	1.89120665499892	-1.08484173165399	-1.32029922281639	-0.149698778805238	41	5	    0.999816	 0.000183686	1	    0.999826	  0.00017366	1	    0.999827	 0.000172734	    0.994781	  0.00521893
5	0.38971574090205	1.89120665499892	0.0607634334966003	-1.8213365235324	-0.348365580376372	42	5	    0.999816	 0.000183686	1	    0.999141	 0.000859296	1	    0.999145	 0.000854801	    0.974678	   0.0253221
5	-0.373815783369229	1.89120665499892	-0.181766151621347	1.53499112750139	-1.60484123644795	43	5	    0.999816	 0.000183686	1	    0.984779	   0.0152205	1	    0.984835	   0.0151648	    0.681384	    0.318616
5	0.035248271873171	1.89120665499892	2.34131101358464	0.930467609475238	2.07951283669029	44	5	    0.999816	 0.000183686	1	   0.0313403	     0.96866	2	   0.0313459	    0.968654	   0.0010645	    0.998935
5	0.00323955652209819	1.89120665499892	1.10679158982067	-1.03928839310685	0.483529923595307	45	5	    0.999816	 0.000183686	1	    0.964209	   0.0357907	1	      0.9643	      0.0357	    0.470757	    0.529243
5	0.9305794670443	1.89120665499892	0.688816160126333	1.03367865674845	0.54835850890245	46	5	    0.999816	 0.000183686	1	    0.821496	    0.178504	1	    0.821623	    0.178377	    0.131704	    0.868296
5	0.065285737207726	1.89120665499892	0.470991750342963	0.408282309790019	-1.05875404675908	47	5	    0.999816	 0.000183686	1	    0.982567	   0.0174334	1	    0.982628	   0.0173724	    0.650671	    0.349329
5	-2.64781077355853	1.89120665499892	-1.64006703209326	1.40024589133753	0.408089884272555	48	5	    0.999816	 0.000183686	1	    0.996377	   0.0036229	1	    0.996395	  0.00360538	    0.900998	   0.0990023
5	0.342502950417721	1.89120665499892	-0.679023165379527	-0.541398989448632	-0.27511926478174	49	5	    0.999816	 0.000183686	1	    0.999112	 0.000887617	1	    0.999117	 0.000882978	    0.973864	   0.0261357
5	-0.0690820742619352	1.89120665499892	2.48630805749224	2.2174277252155	0.538815317540643	50	5	    0.999816	 0.000183686	1	   0.0125242	    0.987476	2	   0.0125264	    0.987474	 0.000417558	    0.999582
6	0.473903202754382	0.100724400636326	0.226175395529003	0.0911611433361456	-0.00866588101768003	51	6	    0.972546	   0.0274542	1	    0.977192	   0.0228085	1	    0.985335	   0.0146652	    0.688721	    0.311279
6	-0.136793743477522	0.100724400636326	-0.646680736793556	-0.0140877034395557	-1.75647114533299	52	6	    0.972546	   0.0274542	1	    0.998838	  0.00116191	1	    0.999351	 0.000648876	    0.980664	    0.019336
6	-0.493019407560182	0.100724400636326	-0.113285802208356	-1.01555115057266	-1.16441541881917	53	6	    0.972546	   0.0274542	1	    0.998504	  0.00149556	1	    0.999163	 0.000837267	    0.975185	   0.0248151
6	-0.826996014435042	0.100724400636326	2.52052365969698	0.84526208884273	1.93320707762059	54	6	    0.972546	   0.0274542	1	   0.0248493	    0.975151	2	   0.0255265	    0.974474	 0.000861875	    0.999138
6	-0.0314380424980101	0.100724400636326	4.58674304062644	0.01272614956247	0.254311323537238	55	6	    0.972546	   0.0274542	1	   0.0015578	    0.998442	2	  0.00160029	      0.9984	 5.27799e-05	    0.999947
6	-1.47736642402537	0.100724400636326	2.54219234347339	4.67848928192999	0.904021702038139	56	6	    0.972546	   0.0274542	1	 0.000117141	    0.999883	2	 0.000120336	     0.99988	 3.96319e-06	    0.999996
6	-0.797705319903213	0.100724400636326	3.06520387801695	-0.0537770737804641	1.14779443469172	57	6	    0.972546	   0.0274542	1	   0.0415987	    0.958401	2	   0.0427316	    0.957268	  0.00146783	    0.998532
6	0.262589380157637	0.100724400636326	-0.7501478658908	-1.15492645299432	0.62949618252157	58	6	    0.972546	   0.0274542	1	    0.998647	  0.00135259	1	    0.999244	 0.000756425	    0.977529	   0.0224712
6	1.12168702743771	0.100724400636326	0.793791101470642	0.065042317502296	-0.820709556096283	59	6	    0.972546	   0.0274542	1	     0.96346	   0.0365396	1	    0.974834	    0.025166	    0.560556	    0.439444
6	1.4394605506407	0.100724400636326	-0.74976285868803	-0.749742117830888	0.160136186303752	60	6	    0.972546	   0.0274542	1	    0.998559	  0.00144077	1	    0.999194	 0.000806269	    0.976082	   0.0239177
7	1.19561911973369	0.198916285293969	2.30630226832838	2.52293685936462	0.615299605187488	61	7	  0.00364623	    0.996354	2	  0.00043224	    0.999568	2	   0.0117351	    0.988265	 0.000390877	    0.999609
7	-0.0506171627026127	0.198916285293969	1.31836986941428	0.372746709336929	1.33891857489866	62	7	  0.00364623	    0.996354	2	   0.0469213	    0.953079	2	    0.588293	    0.411707	   0.0449401	     0.95506
7	-0.888441698870144	0.198916285293969	-0.266540210545316	0.742245141643024	-0.346152326872133	63	7	  0.00364623	    0.996354	2	    0.760151	    0.239849	1	    0.989669	   0.0103306	    0.759311	    0.240689
7	1.21418380800126	0.198916285293969	2.26580617368516	1.4230052914806	1.02284596073643	64	7	  0.00364623	    0.996354	2	  0.00180827	    0.998192	2	   0.0475388	    0.952461	  0.00164091	    0.998359
7	-1.14843454531821	0.198916285293969	3.13983841288017	1.7453393551113	-0.744898618976015	65	7	  0.00364623	    0.996354	2	 0.000484072	    0.999516	2	   0.0131261	    0.986874	 0.000437807	    0.999562
7	0.522098945587282	0.198916285293969	1.01345517950139	1.24611312693478	1.10588415935816	66	7	  0.00364623	    0.996354	2	   0.0350669	    0.964933	2	    0.511438	    0.488562	   0.0333236	    0.966676
7	-0.52495166975773	0.198916285293969	1.32633321216593	2.81737938491007	-0.779330818433155	67	7	  0.00364623	    0.996354	2	  0.00708589	    0.992914	2	    0.165851	    0.834149	  0.00650487	    0.993495
7	0.598668864210133	0.198916285293969	0.0952557274499024	0.395960534284114	2.3610811305649	68	7	  0.00364623	    0.996354	2	    0.211711	    0.788289	2	    0.889318	    0.110682	    0.209231	    0.790769
7	-0.0698216885867518	0.198916285293969	1.2820779121196	1.52945109339909	2.05206048475978	69	7	  0.00364623	    0.996354	2	  0.00588486	    0.994115	2	    0.141295	    0.858705	  0.00538932	    0.994611
7	-0.705918668654424	0.198916285293969	-0.383542012478036	-0.834312855278951	1.15452322768418	70	7	  0.00364623	    0.996354	2	    0.901661	   0.0983388	1	    0.996407	  0.00359262	    0.901314	   0.0986855
8	0.826536110740622	3.09387648928536	-0.320536946168522	0.503195813326394	-0.911738405244205	71	8	    0.999998	 2.01455e-06	1	    0.995782	  0.00421783	1	    0.995782	   0.0042176	    0.886039	    0.113961
8	0.88690452694362	3.09387648928536	-2.0919207780441	-2.09747067198796	-1.12009230670202	72	8	    0.999998	 2.01455e-06	1	    0.999994	 5.97912e-06	1	    0.999994	 5.97876e-06	    0.999818	 0.000181525
8	-0.624296298364162	3.09387648928536	-1.85183190983504	-0.0944845798294065	1.74863924791231	73	8	    0.999998	 2.01455e-06	1	    0.999071	 0.000928681	1	    0.999071	 0.000928627	    0.972549	    0.027451
8	-1.36523005355742	3.09387648928536	0.439665272322799	1.01454241130906	-0.518216284412504	74	8	    0.999998	 2.01455e-06	1	    0.944581	   0.0554191	1	    0.944582	   0.0554179	    0.359504	    0.640496
8	-0.687691341656958	3.09387648928536	0.141904835351357	-0.0794004506489604	-2.33233106649063	75	8	    0.999998	 2.01455e-06	1	    0.997942	  0.00205789	1	    0.997942	  0.00205778	    0.941072	   0.0589275
8	-1.35713977440187	3.09387648928536	-0.825059120475535	-0.255128937044001	-0.564710247305162	76	8	    0.999998	 2.01455e-06	1	    0.999193	 0.000806658	1	    0.999193	 0.000806611	    0.976072	   0.0239276
8	0.383750679742081	3.09387648928536	-1.37117981596442	0.780950544195785	0.107859969486894	77	8	    0.999998	 2.01455e-06	1	    0.998238	  0.00176239	1	    0.998238	  0.00176229	    0.949118	   0.0508821
8	-1.56306775837499	3.09387648928536	2.02488144641279	2.70741265849372	0.907526968451758	78	8	    0.999998	 2.01455e-06	1	   0.0122869	    0.987713	2	   0.0122869	    0.987713	 0.000409479	    0.999591
8	1.10243435310801	3.09387648928536	1.58099249126551	-0.907852659628467	0.841766648789561	79	8	    0.999998	 2.01455e-06	1	    0.860321	    0.139679	1	    0.860322	    0.139678	    0.168627	    0.831373
8	1.03319570590704	3.09387648928536	-0.759716027054064	-1.40320784568114	-1.52847630579273	80	8	    0.999998	 2.01455e-06	1	     0.99989	  0.00011038	1	     0.99989	 0.000110374	    0.996659	  0.00334089
9	1.03770328495657	0.978688918144212	1.46145521587354	1.42861859049941	0.0162923367557192	81	9	     0.99623	   0.0037699	1	    0.417439	    0.582561	2	    0.418931	    0.581069	   0.0231912	    0.976809
9	0.0905410338721765	0.978688918144212	-0.260291279435667	1.04739210062907	0.102608614930469	82	9	     0.99623	   0.0037699	1	    0.976992	   0.0230075	1	    0.978423	   0.0215768	    0.598919	    0.401081
9	-0.971560557044842	0.978688918144212	1.35539869324433	1.23323217988497	2.63078783023288	83	9	     0.99623	   0.0037699	1	     0.10873	     0.89127	2	    0.109126	    0.890874	  0.00401755	    0.995982
9	2.37251200502969	0.978688918144212	1.21525293567706	0.95795200493075	0.381796793289551	84	9	     0.99623	   0.0037699	1	    0.656253	    0.343747	1	    0.658511	    0.341489	   0.0597098	     0.94029
9	-0.949317399193632	0.978688918144212	3.78200261661201	0.517193903245447	0.42572674104399	85	9	     0.99623	   0.0037699	1	  0.00597816	    0.994022	2	  0.00600003	       0.994	 0.000198737	    0.999801
9	-0.586603889198668	0.978688918144212	-0.0640374279297368	-0.81053528160856	0.120103259274226	86	9	     0.99623	   0.0037699	1	    0.996652	  0.00334809	1	     0.99696	  0.00304005	    0.915249	    0.084751
9	0.0162026762330062	0.978688918144212	0.624481143281806	-2.2816639541806	0.486999173113743	87	9	     0.99623	   0.0037699	1	    0.996313	  0.00368692	1	     0.99665	  0.00335036	    0.907373	   0.0926269
9	-0.0705887964399251	0.978688918144212	-0.938595151891697	1.57935272083815	-0.48197128138337	88	9	     0.99623	   0.0037699	1	    0.991277	  0.00872278	1	    0.991989	  0.00801058	     0.80307	     0.19693
9	0.264698842462476	0.978688918144212	-1.8326834165082	-0.972165435214201	0.870431054522862	89	9	     0.99623	   0.0037699	1	    0.999832	 0.000168197	1	    0.999848	 0.000151501	     0.99542	  0.00458026
9	-0.808460958881712	0.978688918144212	-0.901485727138233	-1.02897471604725	0.879803885069601	90	9	     0.99623	   0.0037699	1	    0.999081	 0.000918708	1	    0.999171	 0.000829167	    0.975419	   0.0245808
10	-0.313596848439304	-1.39020202212435	-0.950902079388975	-0.604412458241648	1.37459853000102	91	10	 0.000456025	    0.999544	2	    0.946465	   0.0535347	1	     0.99814	  0.00186004	    0.946442	   0.0535583
10	-1.08012100271353	-1.39020202212435	1.1646966945203	2.22877074688592	0.378395792146759	92	10	 0.000456025	    0.999544	2	  0.00978619	    0.990214	2	       0.229	       0.771	  0.00968618	    0.990314
10	-0.767952538606599	-1.39020202212435	2.54609792845392	1.04936926832583	1.28081544471641	93	10	 0.000456025	    0.999544	2	  0.00109032	     0.99891	2	   0.0316843	    0.968316	  0.00107636	    0.998924
10	1.48542052229322	-1.39020202212435	3.61253588475273	1.23060878312288	-0.41204254202729	94	10	 0.000456025	    0.999544	2	 0.000239748	     0.99976	2	  0.00713533	    0.992865	 0.000236602	    0.999763
10	-0.315826002583722	-1.39020202212435	-0.653114667017496	0.673621632397077	2.61439763396677	95	10	 0.000456025	    0.999544	2	    0.387019	    0.612981	2	    0.950378	   0.0496225	    0.386762	    0.613238
10	1.43362225403882	-1.39020202212435	1.96335334724472	0.883368308996148	-0.0211473562705762	96	10	 0.000456025	    0.999544	2	   0.0167324	    0.983268	2	    0.338688	    0.661312	   0.0165855	    0.983414
10	-1.34540941505774	-1.39020202212435	1.88936730250191	2.21324714190571	1.90654977726152	97	10	 0.000456025	    0.999544	2	 0.000531655	    0.999468	2	   0.0156929	    0.984307	 0.000524738	    0.999475
10	-1.3334955889382	-1.39020202212435	3.24200543155469	1.2180438375402	0.734242977502558	98	10	 0.000456025	    0.999544	2	 0.000235809	    0.999764	2	  0.00701887	    0.992981	 0.000232714	    0.999767
10	-1.05527839355681	-1.39020202212435	1.30757635135915	2.32216413491563	0.625339939296257	99	10	 0.000456025	    0.999544	2	  0.00507548	    0.994925	2	    0.132792	    0.867208	  0.00501721	    0.994983
10	1.49936999681142	-1.39020202212435	0.834557388211963	0.369447555986707	0.275851988193551	100	10	 0.000456025	    0.999544	2	    0.258021	    0.741979	2	    0.913371	   0.0866285	    0.257722	    0.742278
11	0.130505402410151	0.362252663225859	0.943906741764831	0.769948452609126	1.2609683545609	101	11	    0.652662	    0.347338	1	    0.461722	    0.538278	2	    0.673581	    0.326419	   0.0636297	     0.93637
11	2.42686718264499	0.362252663225859	0.723485112002042	1.09575807017862	0.911609249974026	102	11	    0.652662	    0.347338	1	    0.523435	    0.476565	1	    0.753362	    0.246638	   0.0913937	    0.908606
11	1.57877048618927	0.362252663225859	2.3602275116936	3.38730665710539	0.441627646456914	103	11	    0.652662	    0.347338	1	  0.00195003	     0.99805	2	   0.0029362	    0.997064	 9.69659e-05	    0.999903
11	2.21883023959992	0.362252663225859	0.256221180288194	-0.87418056451546	-1.87309310639109	104	11	    0.652662	    0.347338	1	    0.986954	   0.0130463	1	    0.998796	   0.0012035	    0.964701	   0.0352993
11	-0.691231969122294	0.362252663225859	0.752887908098141	1.45835744288251	-0.107218869334768	105	11	    0.652662	    0.347338	1	    0.541911	    0.458089	1	    0.775854	    0.224146	    0.102322	    0.897678
11	-1.37574256310704	0.362252663225859	1.00737563825678	3.75969584724276	0.168336254934028	106	11	    0.652662	    0.347338	1	    0.025396	    0.974604	2	    0.038216	    0.961784	  0.00130676	    0.998693
11	0.000526155806514689	0.362252663225859	1.48632630711899	-1.49529438042122	0.303760200631701	107	11	    0.652662	    0.347338	1	    0.771437	    0.228563	1	    0.956978	   0.0430222	    0.422799	    0.577201
11	-0.200435321461244	0.362252663225859	1.2733463464217	0.637985980889255	1.05753379717393	108	11	    0.652662	    0.347338	1	    0.395668	    0.604332	2	     0.58283	     0.41717	   0.0439837	    0.956016
11	-2.0490186989279	0.362252663225859	0.0966503179347832	-0.243878362607998	-1.14414525128585	109	11	    0.652662	    0.347338	1	    0.964398	   0.0356023	1	    0.996517	  0.00348307	    0.904045	   0.0959555
11	0.10026158359391	0.362252663225859	0.214864061434575	1.4449739755708	-1.18722139951787	110	11	    0.652662	    0.347338	1	    0.784427	    0.215573	1	     0.96155	   0.0384503	    0.451608	    0.548392
12	0.614151749898546	-0.708889274206516	2.51847548546922	1.50814683161857	1.09949443212971	111	12	 1.41387e-06	    0.999999	2	 0.000725565	    0.999274	2	   0.0215727	    0.978427	 0.000725536	    0.999274
12	-0.609285225343728	-0.708889274206516	1.70369710525566	1.02685795018579	2.72672857225051	112	12	 1.41387e-06	    0.999999	2	  0.00225254	    0.997747	2	   0.0641564	    0.935844	  0.00225245	    0.997748
12	-0.401585632849142	-0.708889274206516	1.64799913121421	2.58093861036147	2.49284392294287	113	12	 1.41387e-06	    0.999999	2	  0.00031196	    0.999688	2	  0.00938691	    0.990613	 0.000311947	    0.999688
12	2.53625936929563	-0.708889274206516	2.13371962652923	0.160479195364623	0.19945095653551	114	12	 1.41387e-06	    0.999999	2	   0.0254184	    0.974582	2	    0.441963	    0.558037	   0.0254178	    0.974582
12	0.256302527615106	-0.708889274206516	1.77313698693363	1.44865822318322	-0.16473602681753	115	12	 1.41387e-06	    0.999999	2	   0.0124702	     0.98753	2	    0.277171	    0.722829	   0.0124698	     0.98753
12	1.72107701857255	-0.708889274206516	2.86307673100708	1.81776555516578	0.623455309851112	116	12	 1.41387e-06	    0.999999	2	 0.000301758	    0.999698	2	  0.00908265	    0.990917	 0.000301746	    0.999698
12	0.106431883838289	-0.708889274206516	3.60421219913685	2.83818632699403	0.205792117205879	117	12	 1.41387e-06	    0.999999	2	 1.23664e-05	    0.999988	2	 0.000375378	    0.999625	 1.23659e-05	    0.999988
12	-1.2532457759846	-0.708889274206516	1.55416428192574	1.4102028301377	-0.550827179565488	118	12	 1.41387e-06	    0.999999	2	   0.0273446	    0.972655	2	    0.460538	    0.539462	    0.027344	    0.972656
12	1.24600776741467	-0.708889274206516	0.810428533700638	1.16399992494164	0.434455924261246	119	12	 1.41387e-06	    0.999999	2	   0.0968563	    0.903144	2	    0.765073	    0.234927	   0.0968554	    0.903145
12	-0.453802317123582	-0.708889274206516	2.24662155062858	1.47191885813582	1.58375852754989	120	12	 1.41387e-06	    0.999999	2	 0.000940926	    0.999059	2	   0.0278037	    0.972196	 0.000940888	    0.999059
13	0.27981654866991	0.0366373535428099	1.23850897548453	2.02908031365483	-0.891219171406629	121	13	    0.999999	 1.15798e-06	1	    0.482452	    0.517548	2	    0.482453	    0.517547	   0.0297832	    0.970217
13	1.30299878840018	0.0366373535428099	-0.393981667023994	1.22430795340343	0.280511012399283	122	13	    0.999999	 1.15798e-06	1	    0.976595	   0.0234052	1	    0.976595	   0.0234048	    0.578782	    0.421218
13	0.858101196656666	0.0366373535428099	-1.72826292188549	0.755842400647379	-0.00121842922246968	123	13	    0.999999	 1.15798e-06	1	    0.999196	 0.000804024	1	    0.999196	 0.000803997	    0.976148	   0.0238518
13	0.740518077527095	0.0366373535428099	0.26293965828286	-0.465786902004346	-2.06260788530826	124	13	    0.999999	 1.15798e-06	1	     0.99815	  0.00185026	1	     0.99815	   0.0018502	     0.94671	   0.0532897
13	0.86868758381554	0.0366373535428099	-1.61558979829955	-1.76632105547138	0.559793205235868	125	13	    0.999999	 1.15798e-06	1	     0.99993	 7.00459e-05	1	     0.99993	 7.00435e-05	    0.997877	  0.00212265
13	1.00850826714088	0.0366373535428099	-0.117269628962947	0.0252991009560438	-0.925705226180167	126	13	    0.999999	 1.15798e-06	1	    0.996658	   0.0033421	1	    0.996658	    0.003342	    0.907584	   0.0924164
13	-0.521554760868126	0.0366373535428099	0.325928044349314	0.222579604574569	-2.07640486096565	127	13	    0.999999	 1.15798e-06	1	    0.994793	  0.00520683	1	    0.994793	  0.00520668	    0.862858	    0.137142
13	-1.51792081223365	0.0366373535428099	-1.90093451424353	-1.41861801524378	1.07273406819358	128	13	    0.999999	 1.15798e-06	1	    0.999899	  0.00010104	1	    0.999899	 0.000101036	    0.996941	  0.00305909
13	0.131380523535977	0.0366373535428099	-0.469805110693186	-0.245081626746495	-0.835241254227017	129	13	    0.999999	 1.15798e-06	1	    0.998718	  0.00128242	1	    0.998718	  0.00128238	    0.962471	   0.0375287
13	-0.736104457089397	0.0366373535428099	0.12384558683103	-0.467971398370404	2.16243134523932	130	13	    0.999999	 1.15798e-06	1	    0.963333	   0.0366672	1	    0.963333	   0.0366666	    0.463857	    0.536143
14	1.27860018686089	0.716327472526888	0.872960222052016	2.6533099339711	0.393571974774977	131	14	   0.0042284	    0.995772	2	   0.0110131	    0.988987	2	    0.235798	    0.764202	   0.0100586	    0.989941
14	-1.50759316669512	0.716327472526888	-0.40179926027606	0.569290525497297	-0.695015658436615	132	14	   0.0042284	    0.995772	2	    0.869662	    0.130338	1	    0.995066	  0.00493409	    0.869129	    0.130871
14	1.05730276604187	0.716327472526888	2.00515375780452	2.31312355389689	2.13961921666316	133	14	   0.0042284	    0.995772	2	 0.000337161	    0.999663	2	  0.00903706	    0.990963	 0.000300218	      0.9997
