g	y1	y2	id	t	State#1	State#2	State#	joint5_1_1	joint5_1_2	joint5_2_1	joint5_2_2
15	0.959921233834661	0.334969759368565	60	4	    0.170504	    0.829496	2	    0.620049	    0.379951	    0.170419	    0.829581
16	2.51546200667467	1.39224144835657	61	1	    0.995134	  0.00486627	1	         nan	         nan	         nan	         nan
16	1.95186559873878	1.56162742820012	62	2	    0.996649	  0.00335126	1	    0.996756	  0.00324439	    0.974794	   0.0252055
16	2.08803472633262	2.58128560970449	63	3	    0.999469	 0.000531334	1	    0.999481	 0.000519299	     0.99589	  0.00411048
16	2.55404147624492	-0.172747171958794	64	4	    0.938861	   0.0611394	1	    0.939009	    0.060991	    0.659639	    0.340361
17	-0.263638247225355	1.72060428051441	65	1	    0.580425	    0.419575	1	         nan	         nan	         nan	         nan
17	2.08364483454705	0.0571330145163751	66	2	    0.873793	    0.126207	1	    0.960515	   0.0394854	    0.753826	    0.246174
17	2.37870290174395	1.58095679088375	67	3	    0.996887	  0.00311295	1	    0.998331	  0.00166924	    0.986892	   0.0131085
17	1.22744074990821	1.51148408230499	68	4	    0.959985	    0.040015	1	    0.960627	   0.0393729	    0.754377	    0.245623
18	2.47054539692401	1.56378826503422	69	1	    0.996146	  0.00385425	1	         nan	         nan	         nan	         nan
18	1.97781297475868	2.77969171036683	70	2	    0.997705	  0.00229506	1	    0.997764	  0.00223625	    0.982507	   0.0174931
18	0.111921915384331	0.367581201432856	71	3	    0.116235	    0.883765	2	    0.116465	    0.883535	   0.0163225	    0.983678
18	-0.0889951483601707	-0.0836537861409309	72	4	   0.0226091	    0.977391	2	   0.0951646	    0.904835	   0.0130664	    0.986934
19	1.56476019351936	2.13003143649724	73	1	    0.991324	  0.00867648	1	         nan	         nan	         nan	         nan
19	2.23621968147366	0.880182077990762	74	2	    0.990533	   0.0094666	1	    0.991037	   0.0089628	    0.932971	   0.0670286
19	1.42741357056025	0.57260587633932	75	3	    0.940574	   0.0594259	1	    0.943102	   0.0568975	    0.676013	    0.323987
19	2.33716731776764	1.3698560697995	76	4	    0.991949	  0.00805088	1	    0.994227	  0.00577349	    0.955903	   0.0440966
20	-2.51914162872543	1.47509158278897	77	1	  0.00297259	    0.997027	2	         nan	         nan	         nan	         nan
20	-1.48640766912805	0.0177726364885352	78	2	 0.000575091	    0.999425	2	  0.00445907	    0.995541	 0.000563511	    0.999436
20	-0.716174939089587	1.53514726469916	79	3	   0.0296582	    0.970342	2	    0.194849	    0.805151	   0.0295631	    0.970437
20	-0.754079573877399	-0.212645187300849	80	4	  0.00377848	    0.996222	2	   0.0244602	     0.97554	  0.00314636	    0.996854
21	2.06793113932741	1.22295012040802	81	1	    0.983763	    0.016237	1	         nan	         nan	         nan	         nan
21	1.9290093517009	2.31893303641386	82	2	    0.998733	  0.00126734	1	     0.99886	  0.00113997	    0.991015	  0.00898475
21	2.55562384160843	0.421345842831111	83	3	    0.944082	   0.0559184	1	    0.944415	   0.0555851	    0.681405	    0.318595
21	-0.199149827939761	-0.171758301894214	84	4	   0.0648395	     0.93516	2	   0.0681398	     0.93186	  0.00912079	    0.990879
22	2.16073551774102	0.298493206670206	85	1	    0.898915	    0.101085	1	         nan	         nan	         nan	         nan
22	1.15423017158996	1.67608711919561	86	2	    0.898593	    0.101407	1	    0.929479	   0.0705211	    0.623938	    0.376062
22	0.0349709975942329	1.0690565737448	87	3	    0.258954	    0.741046	2	    0.282839	    0.717161	   0.0472979	    0.952702
22	0.0338528132972916	-0.963198453198152	88	4	  0.00900833	    0.990992	2	   0.0254216	    0.974578	  0.00327283	    0.996727
23	2.38238505381901	-0.147760148659358	89	1	    0.666642	    0.333358	1	         nan	         nan	         nan	         nan
23	-0.0211479406592656	1.49418176772034	90	2	    0.359714	    0.640286	2	    0.486339	    0.513661	    0.106493	    0.893507
23	-0.208989068322554	1.1055328800732	91	3	   0.0991838	    0.900816	2	    0.216049	    0.783951	   0.0335285	    0.966471
23	-0.336679219121369	-0.246505715049411	92	4	   0.0102871	    0.989713	2	   0.0473031	    0.952697	  0.00621142	    0.993789
24	-0.545436002626168	1.15564077822723	93	1	   0.0447054	    0.955295	2	         nan	         nan	         nan	         nan
24	0.127576649312904	-1.40391535957344	94	2	 0.000816889	    0.999183	2	  0.00493647	    0.995064	 0.000624103	    0.999376
24	-1.43274309285031	0.404606487140073	95	3	  0.00593164	    0.994068	2	   0.0450225	    0.954977	  0.00589968	      0.9941
24	2.26128556391192	0.180874448689989	96	4	    0.672701	    0.327299	1	     0.94189	   0.0581097	    0.671095	    0.328905
25	1.08458880048141	0.973192502803795	97	1	    0.617642	    0.382358	1	         nan	         nan	         nan	         nan
25	0.315649122913298	1.20929045645445	98	2	    0.479173	    0.520827	2	    0.655979	    0.344021	    0.193569	    0.806431
25	0.767692162223702	0.25070009273436	99	3	    0.400967	    0.599033	2	    0.638842	    0.361158	    0.182117	    0.817883
25	0.364288903713123	2.05585091687177	100	4	    0.744032	    0.255968	1	    0.928526	   0.0714745	    0.620541	    0.379459
26	-0.588755987414595	0.3235208997133	101	1	   0.0211922	    0.978808	2	         nan	         nan	         nan	         nan
26	0.303054572509673	0.56452858585721	102	2	    0.204656	    0.795344	2	    0.657817	    0.342183	    0.194844	    0.805156
26	0.287007593569058	3.21822986869265	103	3	     0.97658	   0.0234201	1	    0.996321	  0.00367925	      0.9715	   0.0284998
26	1.96850672569728	2.46686940936585	104	4	    0.998171	  0.00182887	1	    0.998424	  0.00157578	    0.987618	   0.0123825
27	0.13374869692166	-0.658221508965348	105	1	  0.00558105	    0.994419	2	         nan	         nan	         nan	         nan
27	0.0196521353421003	-1.13404754537286	106	2	 0.000870253	     0.99913	2	  0.00661848	    0.993382	 0.000837992	    0.999162
27	-0.349183718467846	-0.246091227193271	107	3	  0.00583022	     0.99417	2	   0.0442673	    0.955733	  0.00579674	    0.994203
27	0.416163143361488	1.16373746991313	108	4	    0.256927	    0.743073	2	    0.730236	    0.269764	    0.254151	    0.745849
28	3.14049484559055	-0.526495552675249	109	1	    0.915179	   0.0848208	1	         nan	         nan	         nan	         nan
28	0.369563964771628	1.18175000544011	110	2	    0.811788	    0.188212	1	    0.848672	    0.151328	    0.413821	    0.586179
28	2.17048236374911	0.000647956351912171	111	3	    0.926921	   0.0730791	1	    0.963551	   0.0364493	    0.768931	    0.231069
28	3.25066672044902	2.97364365184858	112	4	    0.999936	 6.41778e-05	1	    0.999957	 4.25783e-05	    0.999662	 0.000338141
29	2.6448047971105	0.469228566967427	113	1	    0.972407	   0.0275931	1	         nan	         nan	         nan	         nan
29	0.843475759338257	1.42191250281483	114	2	    0.935749	    0.064251	1	    0.943118	   0.0568824	    0.676075	    0.323925
29	0.720380393528292	2.08653346850145	115	3	    0.887481	    0.112519	1	    0.909971	   0.0900287	    0.559928	    0.440072
29	-0.250799483692428	0.0617382602403509	116	4	   0.0839236	    0.916076	2	   0.0929492	    0.907051	   0.0127353	    0.987265
30	-0.451669240880181	-0.587238450513792	117	1	  0.00235324	    0.997647	2	         nan	         nan	         nan	         nan
30	0.501039068942273	-0.26569935607057	118	2	   0.0113627	    0.988637	2	    0.082517	    0.917483	   0.0111948	    0.988805
30	0.380302432225023	0.320694715236136	119	3	   0.0247798	     0.97522	2	    0.158951	    0.841049	   0.0232377	    0.976762
30	-1.29884743771756	0.567552243620791	120	4	  0.00599579	    0.994004	2	   0.0394646	    0.960535	  0.00514536	    0.994855
31	1.2176966828317	-0.388607605068426	121	1	   0.0996907	    0.900309	2	         nan	         nan	         nan	         nan
31	0.853197464899125	-0.573743368524036	122	2	    0.110657	    0.889343	2	    0.402916	    0.597084	   0.0782949	    0.921705
31	2.5549584722341	1.43735612280053	123	3	    0.991404	  0.00859633	1	    0.998792	  0.00120789	    0.990484	  0.00951564
31	2.20842913353367	2.10562136983494	124	4	    0.997981	  0.00201905	1	    0.998093	  0.00190692	    0.985049	   0.0149506
32	0.610765527952542	0.0690873936381295	125	1	    0.285006	    0.714994	2	         nan	         nan	         nan	         nan
32	2.50861447107411	1.72940376270668	126	2	     0.96877	   0.0312302	1	    0.994577	  0.00542307	    0.958483	   0.0415173
32	0.517420526470508	-0.0184909362733949	127	3	    0.109867	    0.890133	2	    0.112901	    0.887099	   0.0157683	    0.984232
32	-1.28183957723535	-0.15762139532644	128	4	  0.00243923	    0.997561	2	   0.0109382	    0.989062	  0.00139021	     0.99861
33	1.43830624615446	2.5680415050611	129	1	    0.994948	  0.00505216	1	         nan	         nan	         nan	         nan
33	1.27873809165943	1.53232010671494	130	2	    0.986328	    0.013672	1	    0.986748	   0.0132519	    0.903598	   0.0964018
33	1.281024239245	2.25076849038872	131	3	    0.995065	  0.00493504	1	    0.995479	  0.00452079	     0.96518	     0.03482
33	0.602130407062278	2.02697838213611	132	4	    0.949416	    0.050584	1	    0.950614	    0.049386	    0.707863	    0.292137
34	1.49763546159821	0.0577350507641398	133	1	    0.220781	    0.779219	2	         nan	         nan	         nan	         nan
34	-1.65374029978977	-0.456814802795868	134	2	 0.000432369	    0.999568	2	  0.00135545	    0.998645	 0.000170828	    0.999829
34	-0.104083633651075	-0.26217412785069	135	3	   0.0236489	    0.976351	2	    0.161019	    0.838981	   0.0235895	    0.976411
34	2.430481207379	1.14280597889644	136	4	    0.946187	    0.053813	1	    0.992735	  0.00726488	     0.94506	   0.0549404
35	1.0513334368228	0.341631146072279	137	1	    0.501777	    0.498223	1	         nan	         nan	         nan	         nan
35	0.988827483561578	0.807952481112828	138	2	    0.749176	    0.250824	1	    0.916627	   0.0833734	    0.580532	    0.419468
35	1.71730920518901	2.63820778601945	139	3	      0.9871	   0.0128995	1	    0.995182	  0.00481828	    0.962963	   0.0370371
35	1.1664051882291	-1.15596227864523	140	4	    0.133401	    0.866599	2	    0.134893	    0.865107	   0.0192503	     0.98075
36	0.184936371561086	-0.724361488767563	141	1	  0.00614418	    0.993856	2	         nan	         nan	         nan	         nan
36	-0.315136853248956	0.542008754578254	142	2	   0.0206268	    0.979373	2	    0.138867	    0.861133	   0.0198958	    0.980104
36	1.3348990186323	0.473469155824457	143	3	    0.168591	    0.831409	2	    0.601164	    0.398836	     0.15948	     0.84052
36	-0.361694420063243	-2.37848240876743	144	4	 0.000260908	    0.999739	2	 0.000954527	    0.999045	 0.000120258	     0.99988
37	1.75442781547558	1.92998821303521	145	1	      0.9909	  0.00910044	1	         nan	         nan	         nan	         nan
37	1.19460732745281	1.50330638913834	146	2	    0.982146	   0.0178536	1	    0.983087	   0.0169133	    0.879763	    0.120237
37	1.92275295993649	1.4348469982564	147	3	    0.989986	   0.0100143	1	    0.991024	  0.00897621	    0.932877	    0.067123
37	1.70312790093625	0.198894276792571	148	4	    0.840224	    0.159776	1	    0.844614	    0.155386	    0.406261	    0.593739
38	3.18924064963603	1.75832678290126	149	1	    0.999292	 0.000707884	1	         nan	         nan	         nan	         nan
38	2.63210982847422	0.709115318400888	150	2	    0.970395	   0.0296052	1	    0.970512	   0.0294884	    0.805559	    0.194441
38	0.0838356127967723	-0.30631021595634	151	3	   0.0333524	    0.966648	2	   0.0342344	    0.965766	  0.00444241	    0.995558
38	0.274641478374721	-0.565136134746299	152	4	   0.0127971	    0.987203	2	   0.0780571	    0.921943	   0.0105455	    0.989455
39	1.18439333884626	-1.71188535529779	153	1	   0.0404918	    0.959508	2	         nan	         nan	         nan	         nan
39	0.16802524892149	2.60367176702224	154	2	    0.885112	    0.114888	1	    0.983276	   0.0167238	    0.880969	    0.119031
39	1.02275942424183	2.54088271198932	155	3	     0.95838	   0.0416201	1	    0.974967	   0.0250327	    0.830589	    0.169411
39	-1.65133242501131	-0.601788677014808	156	4	  0.00249915	    0.997501	2	  0.00259348	    0.997407	 0.000327212	    0.999673
40	1.72431507360475	1.93245527913684	157	1	    0.940562	   0.0594378	1	         nan	         nan	         nan	         nan
40	-0.64468775445649	-0.0306471814049669	158	2	   0.0915158	    0.908484	2	    0.096461	    0.903539	   0.0132608	    0.986739
40	2.6902236380049	-0.00849531197346631	159	3	    0.910406	   0.0895936	1	    0.986618	   0.0133824	    0.902729	   0.0972707
40	1.57361568997506	2.38852075808371	160	4	    0.993576	  0.00642448	1	    0.995992	  0.00400812	    0.969022	   0.0309783
41	1.30156689040991	0.955762984435662	161	1	     0.88845	     0.11155	1	         nan	         nan	         nan	         nan
41	1.64007588532173	2.24317223523847	162	2	    0.996242	  0.00375803	1	    0.997867	  0.00213322	    0.983301	   0.0166989
41	1.6867243781564	0.847465301444782	163	3	    0.961212	   0.0387879	1	    0.961967	   0.0380326	    0.760991	    0.239009
41	1.73159491159917	0.285065490654863	164	4	    0.854959	    0.145041	1	    0.870926	    0.129074	    0.459279	    0.540721
42	-0.438564586769909	-0.88747124187649	165	1	  0.00131178	    0.998688	2	         nan	         nan	         nan	         nan
42	-0.675825594243627	0.172343687384166	166	2	  0.00263054	    0.997369	2	   0.0203438	    0.979656	  0.00260727	    0.997393
42	0.231687875017117	-0.537533671261291	167	3	  0.00391886	    0.996081	2	   0.0297926	    0.970207	  0.00385062	    0.996149
42	-1.11316232366068	0.851176955863237	168	4	   0.0122163	    0.987784	2	   0.0874557	    0.912544	   0.0119203	     0.98808
43	-0.0443132029183914	-0.71944853189539	169	1	  0.00361011	     0.99639	2	         nan	         nan	         nan	         nan
43	-1.09760561852449	0.171086132595766	170	2	  0.00126004	     0.99874	2	   0.0096846	    0.990315	  0.00122952	     0.99877
43	-0.230115925404398	-0.320978434903005	171	3	  0.00234688	    0.997653	2	   0.0181908	    0.981809	  0.00232689	    0.997673
43	-1.67770799633348	0.690638326853925	172	4	  0.00345458	    0.996545	2	   0.0263913	    0.973609	  0.00340062	    0.996599
44	-1.34919821514638	0.280036839586785	173	1	   0.0167514	    0.983249	2	         nan	         nan	         nan	         nan
44	2.06312308663261	1.59452148327902	174	2	    0.948497	   0.0515034	1	    0.993106	  0.00689395	    0.947737	   0.0522634
44	1.53643991385963	-0.520948245918164	175	3	     0.70916	     0.29084	1	    0.733685	    0.266315	    0.257498	    0.742502
44	3.28123163645067	0.494135712184735	176	4	    0.987927	   0.0120726	1	    0.995916	  0.00408428	    0.968449	   0.0315506
45	2.65761465875028	0.284545780572935	177	1	    0.954594	   0.0454055	1	         nan	         nan	         nan	         nan
45	2.21169988608612	0.364384460322969	178	2	    0.881488	    0.118512	1	    0.898365	    0.101635	    0.526668	    0.473332
45	0.331012101701762	0.579022540384563	179	3	    0.203202	    0.796798	2	    0.225761	    0.774239	   0.0354063	    0.964594
45	0.00481811616861227	-0.208424607173373	180	4	   0.0281676	    0.971832	2	   0.0902532	    0.909747	   0.0123343	    0.987666
46	0.0354651750184439	-1.1619308791003	181	1	  0.00191385	    0.998086	2	         nan	         nan	         nan	         nan
46	0.311864595893393	-0.378566328707087	182	2	  0.00568755	    0.994312	2	   0.0429398	     0.95706	  0.00561612	    0.994384
46	0.353267703269031	-0.872867155443797	183	3	  0.00251198	    0.997488	2	   0.0188934	    0.981107	  0.00241827	    0.997582
46	0.176006596744189	-2.19022565116275	184	4	 0.000460364	     0.99954	2	  0.00358339	    0.996417	 0.000452499	    0.999548
47	-0.480224898557794	-2.44608782255786	185	1	 0.000119781	     0.99988	2	         nan	         nan	         nan	         nan
47	1.41277568060877	0.102887226510649	186	2	    0.104783	    0.895217	2	    0.481698	    0.518302	    0.104738	    0.895262
47	1.23255656968203	-2.29944066619365	187	3	   0.0125777	    0.987422	2	   0.0563242	    0.943676	  0.00745733	    0.992543
47	2.98431558778608	1.53047923838944	188	4	    0.991272	  0.00872761	1	    0.998881	  0.00111948	    0.991175	  0.00882453
48	2.38990410073345	2.29374059609419	189	1	    0.998853	  0.00114672	1	         nan	         nan	         nan	         nan
48	3.51789649678065	3.08258462653389	190	2	    0.999993	 7.20353e-06	1	    0.999993	 7.14663e-06	    0.999943	 5.67698e-05
48	2.71262017682788	2.24380119354581	191	3	    0.999785	 0.000215423	1	    0.999785	 0.000215413	    0.998291	  0.00170868
48	2.1574893366556	0.922574479289502	192	4	    0.981072	    0.018928	1	    0.981097	   0.0189035	    0.867256	    0.132744
49	-0.297377688957829	-0.0669148011069914	193	1	   0.0493726	    0.950627	2	         nan	         nan	         nan	         nan
49	1.22037729952071	1.3165631114008	194	2	    0.853961	    0.146039	1	    0.977855	   0.0221452	    0.847526	    0.152474
49	3.50939782013619	-0.416809046589044	195	3	    0.989213	   0.0107874	1	    0.994529	  0.00547129	    0.958127	    0.041873
49	1.55949892090248	1.64496864992052	196	4	    0.982545	   0.0174555	1	    0.983628	   0.0163723	    0.883216	    0.116784
50	1.01063027176862	-1.17410996296637	197	1	   0.0803503	     0.91965	2	         nan	         nan	         nan	         nan
50	2.2570122564881	1.22908588341214	198	2	    0.968612	   0.0313884	1	    0.995623	  0.00437743	    0.966252	   0.0337484
50	1.17315248799381	1.99162027090233	199	3	    0.941196	   0.0588044	1	    0.948987	   0.0510129	    0.700757	    0.299243
50	-2.34428768804404	-0.0729402715703477	200	4	  0.00207406	    0.997926	2	  0.00218641	    0.997814	 0.000275756	    0.999724
51	2.32087868936558	1.22090965399319	201	1	    0.990274	  0.00972632	1	         nan	         nan	         nan	         nan
51	3.86249403221582	2.82762576117133	202	2	    0.999973	 2.74026e-05	1	    0.999974	 2.56693e-05	    0.999796	  0.00020388
51	-0.88277474700728	1.37389083634652	203	3	    0.466252	    0.533748	2	    0.466262	    0.533738	   0.0990725	    0.900928
51	1.80514198502871	1.10583712101829	204	4	    0.890536	    0.109464	1	    0.972865	   0.0271348	    0.818618	    0.181382
52	-0.5705094928403	-0.185933051021214	205	1	   0.0282337	    0.971766	2	         nan	         nan	         nan	         nan
52	2.25252206681414	1.59176318543871	206	2	     0.98508	   0.0149202	1	    0.998048	   0.0019517	    0.984703	    0.015297
52	1.34876608140717	1.14667696198129	207	3	    0.972842	   0.0271575	1	    0.974995	   0.0250053	    0.830747	    0.169253
52	1.31965241962975	1.96244693623881	208	4	    0.983022	   0.0169783	1	    0.985474	   0.0145261	    0.895178	    0.104822
53	1.37312376272375	1.79252393612017	209	1	    0.976079	   0.0239212	1	         nan	         nan	         nan	         nan
53	0.817369448392777	2.18497652622374	210	2	     0.98603	   0.0139696	1	    0.987867	   0.0121333	    0.911103	   0.0888967
53	1.81973620068998	1.36035365239348	211	3	    0.952069	   0.0479311	1	    0.955233	   0.0447667	    0.728708	    0.271292
53	0.21043213375999	-0.786654778297686	212	4	    0.045631	    0.954369	2	   0.0476134	    0.952387	  0.00625394	    0.993746
54	-1.97325135860099	-1.40136638266424	213	1	 4.03719e-05	     0.99996	2	         nan	         nan	         nan	         nan
54	0.268418462706469	-0.739029976523016	214	2	   0.0195557	    0.980444	2	    0.136747	    0.863253	    0.019551	    0.980449
54	2.04998641114469	1.6554588421341	215	3	    0.945417	   0.0545832	1	    0.992654	  0.00734617	    0.944475	   0.0555254
54	-0.198983059312566	1.6106848601457	216	4	    0.641305	    0.358695	1	    0.666717	    0.333283	    0.201163	    0.798837
55	1.40020556630946	-0.545127969124123	217	1	   0.0725926	    0.927407	2	         nan	         nan	         nan	         nan
55	0.919832191179735	-1.39781939112544	218	2	  0.00405375	    0.995946	2	   0.0211643	    0.978836	  0.00271442	    0.997286
55	-0.821086864189102	-0.546690288856698	219	3	  0.00125131	    0.998749	2	  0.00958969	     0.99041	  0.00121737	    0.998783
55	1.59033679321141	-0.252531716911459	220	4	    0.192521	    0.807479	2	    0.653618	    0.346382	    0.191943	    0.808057
56	1.51590279869123	3.38824842135057	221	1	    0.999121	  0.00087864	1	         nan	         nan	         nan	         nan
56	1.69564009684693	1.63265899736591	222	2	    0.995233	  0.00476655	1	    0.995261	  0.00473869	    0.963555	   0.0364448
56	0.742249847538873	3.83021530784932	223	3	    0.999497	 0.000503491	1	    0.999513	  0.00048742	    0.996141	    0.003859
56	3.26190703478355	2.9275204797535	224	4	    0.999955	 4.54996e-05	1	    0.999955	 4.53411e-05	     0.99964	 0.000360075
57	-2.27726461362191	-0.171507571054181	225	1	 0.000627235	    0.999373	2	         nan	         nan	         nan	         nan
57	2.30237850009069	-1.08200403752932	226	2	    0.293118	    0.706882	2	    0.766865	    0.233135	    0.292821	    0.707179
57	1.48007275263972	1.45274922564761	227	3	    0.737148	    0.262852	1	    0.937571	   0.0624293	     0.65404	     0.34596
57	-0.530998069732156	0.820790175322468	228	4	    0.156721	    0.843279	2	    0.201619	    0.798381	     0.03081	     0.96919
58	0.608509610778308	-0.732461405792771	229	1	   0.0128941	    0.987106	2	         nan	         nan	         nan	         nan
