g	y1	y2	c1	c2	id	g	GClass#1	GClass#2	GClass#	Cluster#1	Cluster#2	Cluster#	joint2_1_1	joint2_1_2	joint2_2_1	joint2_2_2
2	2.25819062679994	1.65524679112076	3	2	12	2	 0.000579245	    0.999421	2	 0.000438264	    0.999562	2	  0.00644096	    0.993559	 0.000434785	    0.999565
2	-0.509162074346575	-1.46548043896931	1	3	13	2	 0.000579245	    0.999421	2	    0.999849	 0.000150803	1	     0.99999	 1.01254e-05	    0.999849	 0.000150884
2	2.05607148724154	2.64699217616734	3	1	14	2	 0.000579245	    0.999421	2	 2.21736e-05	    0.999978	2	 0.000327728	    0.999672	 2.19965e-05	    0.999978
2	-0.993272765566985	-1.20962654414143	2	3	15	2	 0.000579245	    0.999421	2	    0.999411	 0.000588803	1	     0.99996	 3.95503e-05	    0.999411	 0.000589121
2	2.04974775486326	2.72912300130292	3	1	16	2	 0.000579245	    0.999421	2	 1.99671e-05	     0.99998	2	 0.000295126	    0.999705	 1.98077e-05	     0.99998
2	2.09520980666854	1.76401778724982	2	1	17	2	 0.000579245	    0.999421	2	 0.000460401	     0.99954	2	  0.00676426	    0.993236	 0.000456747	    0.999543
2	3.13675409355391	2.53826834429171	1	1	18	2	 0.000579245	    0.999421	2	   0.0001182	    0.999882	2	  0.00174472	    0.998255	 0.000117257	    0.999883
2	1.48922907725512	2.39232429453769	2	2	19	2	 0.000579245	    0.999421	2	  0.00530126	    0.994699	2	   0.0730765	    0.926923	  0.00526198	    0.994738
2	3.16292214060486	2.43064413061294	3	1	20	2	 0.000579245	    0.999421	2	 2.61822e-06	    0.999997	2	  3.8708e-05	    0.999961	 2.59731e-06	    0.999997
3	-1.43373815366648	-0.89194632627553	2	3	21	3	  0.00893257	    0.991067	2	    0.999645	 0.000354897	1	    0.999976	 2.40208e-05	    0.999642	 0.000357879
3	2.45361456543785	1.37702297569535	2	1	22	3	  0.00893257	    0.991067	2	 0.000400201	      0.9996	2	  0.00528248	    0.994718	 0.000356197	    0.999644
3	0.0696421888933323	3.28345452339325	2	2	23	3	  0.00893257	    0.991067	2	     0.03156	     0.96844	2	    0.308497	    0.691503	   0.0290639	    0.970936
3	0.984304987635234	1.92888939763347	3	3	24	3	  0.00893257	    0.991067	2	   0.0630358	    0.936964	2	    0.484136	    0.515864	   0.0592404	     0.94076
3	2.55176090678231	1.06028115115448	3	3	25	3	  0.00893257	    0.991067	2	  0.00768325	    0.992317	2	    0.093909	    0.906091	  0.00690609	    0.993094
3	2.46794097531961	1.85291152053273	1	1	26	3	  0.00893257	    0.991067	2	  0.00153531	    0.998465	2	    0.020018	    0.979982	  0.00136872	    0.998631
3	1.1369963621137	3.06486658258249	3	1	27	3	  0.00893257	    0.991067	2	 9.87725e-05	    0.999901	2	  0.00130804	    0.998692	 8.78733e-05	    0.999912
3	-0.948433213218818	-1.70992710827691	3	3	28	3	  0.00893257	    0.991067	2	    0.997791	  0.00220922	1	     0.99985	  0.00014979	    0.997772	  0.00222778
3	2.5116197042095	2.20614171659808	3	1	29	3	  0.00893257	    0.991067	2	  1.7089e-05	    0.999983	2	  0.00022651	    0.999773	 1.52015e-05	    0.999985
3	1.29763569357883	1.23575858283151	2	3	30	3	  0.00893257	    0.991067	2	    0.357064	    0.642936	2	    0.890171	    0.109829	    0.352259	    0.647741
4	3.02830949113979	2.71953559586201	3	2	31	4	 2.84814e-05	    0.999972	2	 1.74516e-05	    0.999983	2	 0.000259927	     0.99974	 1.74447e-05	    0.999983
4	2.53441003831584	2.10617671224891	1	2	32	4	 2.84814e-05	    0.999972	2	  0.00620433	    0.993796	2	   0.0850958	    0.914904	  0.00620208	    0.993798
4	1.5177836982379	2.24656972286907	3	2	33	4	 2.84814e-05	    0.999972	2	 0.000948868	    0.999051	2	   0.0139521	    0.986048	 0.000948498	    0.999052
4	1.56569545624972	2.77518644362481	3	2	34	4	 2.84814e-05	    0.999972	2	 0.000400564	    0.999599	2	  0.00593448	    0.994066	 0.000400406	      0.9996
4	0.783440778881692	0.877206176651429	3	1	35	4	 2.84814e-05	    0.999972	2	  0.00408426	    0.995916	2	   0.0575793	    0.942421	  0.00408274	    0.995917
4	3.08900689182811	1.24059683974982	3	2	36	4	 2.84814e-05	    0.999972	2	 0.000122833	    0.999877	2	  0.00182682	    0.998173	 0.000122784	    0.999877
4	1.14149861974172	2.40789633594233	2	1	37	4	 2.84814e-05	    0.999972	2	  0.00145067	    0.998549	2	   0.0211848	    0.978815	  0.00145011	     0.99855
4	1.14047418326014	2.12874677109758	1	1	38	4	 2.84814e-05	    0.999972	2	   0.0164248	    0.983575	2	    0.199229	    0.800771	   0.0164196	     0.98358
4	2.25105786975174	-1.36990566092772	3	3	39	4	 2.84814e-05	    0.999972	2	    0.245486	    0.754514	2	    0.829018	    0.170982	     0.24547	     0.75453
4	-0.358446999125846	0.626837873802168	3	1	40	4	 2.84814e-05	    0.999972	2	   0.0600232	    0.939977	2	     0.48757	     0.51243	   0.0600111	    0.939989
5	-0.786230309889155	1.34992113375888	1	3	41	5	    0.999802	 0.000197717	1	    0.999768	 0.000231522	1	    0.999769	  0.00023089	     0.99657	  0.00343009
5	3.71464761559499	0.804891554794317	3	1	42	5	    0.999802	 0.000197717	1	 0.000108011	    0.999892	2	 0.000108031	    0.999892	 7.24935e-06	    0.999993
5	-0.478101106781036	-0.685800730435792	2	2	43	5	    0.999802	 0.000197717	1	    0.997004	  0.00299551	1	    0.997012	  0.00298765	    0.957249	   0.0427511
5	-0.255884098015021	-0.871640262197019	1	3	44	5	    0.999802	 0.000197717	1	    0.999964	 3.63958e-05	1	    0.999964	 3.62961e-05	    0.999459	 0.000540672
5	-0.314173440651914	-0.323335394839185	3	3	45	5	    0.999802	 0.000197717	1	    0.996764	   0.0032364	1	    0.996772	  0.00322794	    0.953958	   0.0460417
5	-1.6094330872635	1.46515823554078	1	3	46	5	    0.999802	 0.000197717	1	     0.99995	 5.03652e-05	1	     0.99995	 5.02273e-05	    0.999252	 0.000748048
5	-0.171871831874185	-0.454116000219705	1	3	47	5	    0.999802	 0.000197717	1	    0.999926	 7.42032e-05	1	    0.999926	     7.4e-05	    0.998898	  0.00110174
5	1.47931218698417	0.127497833324502	1	3	48	5	    0.999802	 0.000197717	1	    0.994704	  0.00529626	1	    0.994717	   0.0052828	    0.926654	   0.0733459
5	1.3357527986241	1.21944600395757	2	1	49	5	    0.999802	 0.000197717	1	    0.070196	    0.929804	2	   0.0702089	    0.929791	  0.00504102	    0.994959
5	-0.10379587352328	-0.563780584894793	3	3	50	5	    0.999802	 0.000197717	1	    0.996324	  0.00367642	1	    0.996333	  0.00366687	    0.948001	   0.0519987
6	-0.236131668333096	0.690065308143884	3	3	51	6	    0.999822	 0.000177723	1	    0.985572	   0.0144276	1	    0.985602	   0.0143984	    0.821204	    0.178796
6	0.261399391516877	-1.57399026625773	1	3	52	6	    0.999822	 0.000177723	1	    0.999956	 4.44937e-05	1	    0.999956	 4.43841e-05	    0.999339	 0.000661078
6	-0.911666118684957	0.500912597389169	1	1	53	6	    0.999822	 0.000177723	1	    0.994342	   0.0056579	1	    0.994355	  0.00564504	    0.921991	   0.0780092
6	0.243426497367952	-0.352988229993574	1	3	54	6	    0.999822	 0.000177723	1	    0.999798	 0.000202322	1	    0.999798	 0.000201825	       0.997	  0.00299952
6	-0.737360128114866	-0.77676600688158	1	3	55	6	    0.999822	 0.000177723	1	    0.999985	 1.51099e-05	1	    0.999985	 1.50727e-05	    0.999775	 0.000224591
6	0.613524025999779	-0.410860813126059	1	2	56	6	    0.999822	 0.000177723	1	    0.994519	  0.00548132	1	    0.994531	  0.00546883	    0.924254	   0.0757462
6	2.72035795287641	1.19185657759838	2	3	57	6	    0.999822	 0.000177723	1	    0.277596	    0.722404	2	    0.277641	    0.722359	   0.0251408	    0.974859
6	2.89806857221287	2.49635097864053	2	1	58	6	    0.999822	 0.000177723	1	 0.000409805	     0.99959	2	 0.000409873	     0.99959	  2.7512e-05	    0.999972
6	-0.0251087381504536	-0.528789730647094	1	3	59	6	    0.999822	 0.000177723	1	    0.999908	 9.15847e-05	1	    0.999909	 9.13592e-05	     0.99864	  0.00135986
6	-1.79733657759786	0.280046240414668	1	3	60	6	    0.999822	 0.000177723	1	    0.999993	 6.87892e-06	1	    0.999993	 6.86197e-06	    0.999898	 0.000102259
7	1.73575515338113	1.39279020345402	2	1	61	7	  0.00018939	    0.999811	2	  0.00167957	     0.99832	2	   0.0243993	    0.975601	  0.00167527	    0.998325
7	0.605339178450293	2.98695371357212	3	1	62	7	  0.00018939	    0.999811	2	 0.000307298	    0.999693	2	  0.00454851	    0.995451	 0.000306494	    0.999694
7	1.21353170364764	2.48162589038765	3	1	63	7	  0.00018939	    0.999811	2	 0.000173965	    0.999826	2	   0.0025797	     0.99742	 0.000173509	    0.999826
7	2.66310118206839	1.63106776948006	3	1	64	7	  0.00018939	    0.999811	2	 2.45081e-05	    0.999975	2	 0.000364177	    0.999636	 2.44437e-05	    0.999976
7	-1.18084609950528	-0.178199339251368	1	3	65	7	  0.00018939	    0.999811	2	    0.999804	  0.00019572	1	    0.999987	 1.31371e-05	    0.999804	 0.000195755
7	0.748206467740108	1.7446067167788	3	1	66	7	  0.00018939	    0.999811	2	  0.00133743	    0.998663	2	   0.0195193	    0.980481	  0.00133399	    0.998666
7	0.327554029969578	1.49981908911912	1	1	67	7	  0.00018939	    0.999811	2	    0.185771	    0.814229	2	    0.772616	    0.227384	    0.185659	    0.814341
7	2.52614318181438	3.33079041068304	3	2	68	7	  0.00018939	    0.999811	2	 2.18209e-05	    0.999978	2	  0.00032426	    0.999676	 2.17637e-05	    0.999978
7	1.83997708420911	0.635400382061891	2	2	69	7	  0.00018939	    0.999811	2	   0.0276253	    0.972375	2	    0.297067	    0.702933	   0.0275743	    0.972426
7	1.47335078027596	2.02516307642526	3	2	70	7	  0.00018939	    0.999811	2	  0.00143245	    0.998568	2	   0.0208791	    0.979121	  0.00142877	    0.998571
8	3.60454119058428	0.710504952715498	3	1	71	8	 4.16675e-05	    0.999958	2	 1.05662e-05	    0.999989	2	 0.000157361	    0.999843	 1.05601e-05	    0.999989
8	2.9636807100976	2.58459095432725	3	2	72	8	 4.16675e-05	    0.999958	2	  2.4491e-05	    0.999976	2	  0.00036467	    0.999635	 2.44768e-05	    0.999976
8	3.89933050631894	2.35674337373058	3	2	73	8	 4.16675e-05	    0.999958	2	 4.14984e-06	    0.999996	2	 6.18084e-05	    0.999938	 4.14743e-06	    0.999996
8	0.127273308042925	1.39423494503591	3	1	74	8	 4.16675e-05	    0.999958	2	  0.00803943	    0.991961	2	    0.107721	    0.892279	  0.00803528	    0.991965
8	1.16628255289961	0.707528908126564	3	1	75	8	 4.16675e-05	    0.999958	2	  0.00226934	    0.997731	2	   0.0327692	    0.967231	  0.00226807	    0.997732
8	3.24362184848115	-0.419877078378988	3	2	76	8	 4.16675e-05	    0.999958	2	 0.000799715	      0.9992	2	    0.011781	    0.988219	 0.000799258	    0.999201
8	2.56209490489731	0.132136248085249	3	1	77	8	 4.16675e-05	    0.999958	2	 0.000234432	    0.999766	2	  0.00348054	    0.996519	 0.000234297	    0.999766
8	1.30497698251699	3.08368378921434	2	1	78	8	 4.16675e-05	    0.999958	2	 0.000384223	    0.999616	2	  0.00569264	    0.994307	 0.000384001	    0.999616
8	0.44712665049379	-0.374365465658194	1	3	79	8	 4.16675e-05	    0.999958	2	     0.99552	  0.00448015	1	    0.999698	 0.000301881	     0.99552	  0.00448033
8	2.83016353624881	1.85506814181836	3	2	80	8	 4.16675e-05	    0.999958	2	 9.30204e-05	    0.999907	2	  0.00138376	    0.998616	 9.29667e-05	    0.999907
9	0.497587726483924	0.789860235779758	2	1	81	9	 8.98626e-05	     0.99991	2	   0.0518614	    0.948139	2	    0.448918	    0.551082	   0.0518257	    0.948174
9	1.44223642362208	2.79560756009918	3	2	82	9	 8.98626e-05	     0.99991	2	 0.000508323	    0.999492	2	  0.00751347	    0.992487	 0.000507694	    0.999492
9	2.14495708146847	2.26594580344381	3	1	83	9	 8.98626e-05	     0.99991	2	 3.13063e-05	    0.999969	2	 0.000465794	    0.999534	 3.12673e-05	    0.999969
9	2.61403756973989	1.33845867454053	3	2	84	9	 8.98626e-05	     0.99991	2	 0.000308524	    0.999691	2	  0.00457284	    0.995427	 0.000308141	    0.999692
9	1.01170179630503	-0.853281560758848	3	1	85	9	 8.98626e-05	     0.99991	2	   0.0240473	    0.975953	2	    0.268407	    0.731593	   0.0240253	    0.975975
9	3.12010184372874	0.435810540517474	3	1	86	9	 8.98626e-05	     0.99991	2	 4.53542e-05	    0.999955	2	 0.000674676	    0.999325	 4.52976e-05	    0.999955
9	0.840196083577542	1.24043868806817	3	1	87	9	 8.98626e-05	     0.99991	2	  0.00220798	    0.997792	2	   0.0318894	    0.968111	  0.00220531	    0.997795
9	3.08992247327686	0.959504924661024	3	2	88	9	 8.98626e-05	     0.99991	2	 0.000180277	     0.99982	2	  0.00267674	    0.997323	 0.000180052	     0.99982
9	0.687107672463438	0.614456119122715	3	1	89	9	 8.98626e-05	     0.99991	2	  0.00713807	    0.992862	2	   0.0966794	    0.903321	  0.00713002	     0.99287
9	0.460968068579442	-0.505273343122721	1	2	90	9	 8.98626e-05	     0.99991	2	    0.950154	   0.0498457	1	    0.996492	  0.00350794	     0.95015	   0.0498499
10	-1.13076502243415	0.322063567138494	1	3	91	10	   0.0038392	    0.996161	2	    0.999582	 0.000418351	1	    0.999972	 2.81823e-05	     0.99958	 0.000419855
10	2.39314551552554	0.455893985713652	3	2	92	10	   0.0038392	    0.996161	2	  0.00175016	     0.99825	2	   0.0242321	    0.975768	  0.00166352	    0.998336
10	2.74198570748547	1.11647917572538	3	2	93	10	   0.0038392	    0.996161	2	 0.000331734	    0.999668	2	  0.00467416	    0.995326	 0.000314998	    0.999685
10	0.940489948571653	1.14402257651486	2	1	94	10	   0.0038392	    0.996161	2	   0.0135416	    0.986458	2	    0.163693	    0.836307	    0.012963	    0.987037
10	0.850588695044318	2.02814841215449	1	2	95	10	   0.0038392	    0.996161	2	    0.214811	    0.785189	2	    0.800911	    0.199089	    0.212553	    0.787447
10	1.348848177943	0.0459246744437052	3	1	96	10	   0.0038392	    0.996161	2	  0.00388492	    0.996115	2	   0.0524169	    0.947583	  0.00369787	    0.996302
10	2.06602111658908	0.784107106299284	1	1	97	10	   0.0038392	    0.996161	2	   0.0148986	    0.985101	2	    0.177486	    0.822514	    0.014272	    0.985728
10	-0.89256309672771	1.73964179156111	1	2	98	10	   0.0038392	    0.996161	2	    0.940285	   0.0597153	1	    0.995741	  0.00425922	    0.940071	    0.059929
10	1.5305862836839	0.378361988347218	3	2	99	10	   0.0038392	    0.996161	2	   0.0125479	    0.987452	2	     0.15333	     0.84667	   0.0120054	    0.987995
10	1.62389890268335	0.710624228728036	3	2	100	10	   0.0038392	    0.996161	2	  0.00662131	    0.993379	2	   0.0865006	    0.913499	  0.00631345	    0.993687
11	-0.905847588310024	0.247611666835823	3	3	101	11	    0.999984	 1.60449e-05	1	     0.99799	  0.00201014	1	     0.99799	  0.00200971	    0.970862	   0.0291378
11	1.27197697996227	1.53877406478253	1	3	102	11	    0.999984	 1.60449e-05	1	    0.977479	   0.0225206	1	    0.977483	   0.0225168	    0.744428	    0.255572
11	2.21067799372469	-1.05378128421925	3	1	103	11	    0.999984	 1.60449e-05	1	   0.0339869	    0.966013	2	   0.0339874	    0.966013	  0.00235514	    0.997645
11	-0.819843959387339	-1.0857884759972	1	3	104	11	    0.999984	 1.60449e-05	1	    0.999991	 8.57941e-06	1	    0.999991	 8.57749e-06	    0.999872	 0.000127821
11	-0.366955504765033	0.298797543481859	1	3	105	11	    0.999984	 1.60449e-05	1	    0.999868	 0.000132434	1	    0.999868	 0.000132405	     0.99803	  0.00196969
11	0.215059780642266	-0.164739331999083	2	3	106	11	    0.999984	 1.60449e-05	1	     0.99813	  0.00187024	1	     0.99813	  0.00186984	    0.972839	   0.0271613
11	-1.00269981548811	0.000770700619509707	1	3	107	11	    0.999984	 1.60449e-05	1	    0.999976	 2.39534e-05	1	    0.999976	 2.39481e-05	    0.999643	 0.000356795
11	-0.650938662834963	0.184440388560871	1	3	108	11	    0.999984	 1.60449e-05	1	    0.999937	 6.30845e-05	1	    0.999937	 6.30705e-05	    0.999061	 0.000939158
11	0.412484610086752	-0.426241137187881	2	3	109	11	    0.999984	 1.60449e-05	1	    0.997982	  0.00201801	1	    0.997982	  0.00201757	    0.970751	   0.0292488
11	-0.157424108828453	-1.88945085625611	3	3	110	11	    0.999984	 1.60449e-05	1	     0.99938	 0.000619537	1	    0.999381	   0.0006194	    0.990847	  0.00915251
12	2.73076547663255	0.0251474821110271	2	1	111	12	  0.00115333	    0.998847	2	  0.00121598	    0.998784	2	   0.0175494	    0.982451	  0.00119712	    0.998803
12	4.11740132173196	-0.699619183454165	3	1	112	12	  0.00115333	    0.998847	2	 2.15223e-05	    0.999978	2	 0.000315607	    0.999684	 2.11827e-05	    0.999979
12	1.90240175932005	0.785604718395896	3	1	113	12	  0.00115333	    0.998847	2	 0.000422081	    0.999578	2	  0.00615632	    0.993844	  0.00041546	    0.999585
12	1.50535505638187	1.96987392895638	3	1	114	12	  0.00115333	    0.998847	2	 0.000194536	    0.999805	2	   0.0028461	    0.997154	 0.000191475	    0.999809
12	1.85561241649389	1.66215574750009	1	3	115	12	  0.00115333	    0.998847	2	    0.409854	    0.590146	2	    0.911706	   0.0882941	    0.409275	    0.590725
12	1.72734760156533	1.92891771348306	3	1	116	12	  0.00115333	    0.998847	2	 0.000127368	    0.999873	2	  0.00186509	    0.998135	 0.000125361	    0.999875
12	2.90123484926372	2.77283759545748	3	1	117	12	  0.00115333	    0.998847	2	 2.88882e-06	    0.999997	2	 4.23728e-05	    0.999958	 2.84323e-06	    0.999997
12	-0.54415736587839	2.12433810153402	3	1	118	12	  0.00115333	    0.998847	2	   0.0118711	    0.988129	2	    0.150103	    0.849897	   0.0117115	    0.988288
12	-1.2963519805716	0.540765273102761	1	3	119	12	  0.00115333	    0.998847	2	      0.9996	 0.000400443	1	    0.999973	 2.69077e-05	    0.999599	 0.000400874
12	0.174640433666408	0.194976911238665	3	2	120	12	  0.00115333	    0.998847	2	    0.219798	    0.780202	2	    0.807027	    0.192973	     0.21912	     0.78088
13	2.62065317409611	3.90444740236459	2	1	121	13	  0.00357298	    0.996427	2	 6.75287e-06	    0.999993	2	 9.58713e-05	    0.999904	 6.43331e-06	    0.999994
13	0.753845090518509	0.139400124623286	2	2	122	13	  0.00357298	    0.996427	2	     0.36537	     0.63463	2	    0.894851	    0.105149	    0.363472	    0.636528
13	2.41675012090117	2.44696052034711	3	3	123	13	  0.00357298	    0.996427	2	  0.00140709	    0.998593	2	   0.0196307	    0.980369	  0.00134174	    0.998658
13	1.70851462544922	4.11903139447989	3	1	124	13	  0.00357298	    0.996427	2	 5.59547e-06	    0.999994	2	 7.94408e-05	    0.999921	 5.33068e-06	    0.999995
13	2.90180764514143	1.91493292406477	1	1	125	13	  0.00357298	    0.996427	2	 0.000504046	    0.999496	2	  0.00711153	    0.992888	 0.000480353	     0.99952
13	-0.525267130010824	-0.415818380087132	1	3	126	13	  0.00357298	    0.996427	2	    0.999447	 0.000552906	1	    0.999963	 3.72419e-05	    0.999445	 0.000554755
13	1.9206566490787	1.32864764282968	2	1	127	13	  0.00357298	    0.996427	2	  0.00128411	    0.998716	2	   0.0179423	    0.982058	  0.00122438	    0.998776
13	0.893485300657872	2.02039179910752	1	1	128	13	  0.00357298	    0.996427	2	   0.0330435	    0.966957	2	    0.329915	    0.670085	   0.0319789	    0.968021
13	1.28028586243856	0.901803830693289	2	1	129	13	  0.00357298	    0.996427	2	  0.00912269	    0.990877	2	    0.116132	    0.883868	  0.00873898	    0.991261
13	0.75433212684317	-0.148966065797734	3	3	130	13	  0.00357298	    0.996427	2	    0.635499	    0.364501	1	     0.96276	   0.0372397	    0.634326	    0.365674
14	2.45238238503448	1.55119648051252	3	1	131	14	  0.00240454	    0.997595	2	 4.49664e-05	    0.999955	2	 0.000648106	    0.999352	 4.35126e-05	    0.999956
14	1.01742704758229	-0.120634998833661	2	2	132	14	  0.00240454	    0.997595	2	    0.315466	    0.684534	2	    0.872216	    0.127784	    0.314124	    0.685876
14	2.41361081545718	1.16297194515572	2	1	133	14	  0.00240454	    0.997595	2	 0.000539661	     0.99946	2	  0.00772857	    0.992271	 0.000522334	    0.999478
14	-1.46098332446086	0.555348939403822	1	3	134	14	  0.00240454	    0.997595	2	    0.999708	 0.000291603	1	     0.99998	 1.96152e-05	    0.999708	 0.000292259
14	2.55614147319051	2.54242923466567	1	1	135	14	  0.00240454	    0.997595	2	 0.000437263	    0.999563	2	  0.00627039	     0.99373	 0.000423203	    0.999577
14	2.08360342634067	3.4247560191361	3	2	136	14	  0.00240454	    0.997595	2	 5.17785e-05	    0.999948	2	 0.000746223	    0.999254	 5.01046e-05	     0.99995
14	3.73968938384388	1.41502065560117	3	1	137	14	  0.00240454	    0.997595	2	 3.06928e-06	    0.999997	2	  4.4262e-05	    0.999956	    2.97e-06	    0.999997
14	2.9235360849863	1.82239278547708	3	1	138	14	  0.00240454	    0.997595	2	 1.08445e-05	    0.999989	2	 0.000156372	    0.999844	 1.04937e-05	     0.99999
14	2.47221462326222	1.17042859444595	3	1	139	14	  0.00240454	    0.997595	2	   7.284e-05	    0.999927	2	  0.00104947	    0.998951	  7.0486e-05	     0.99993
14	1.39995272787463	1.02022860369084	1	3	140	14	  0.00240454	    0.997595	2	    0.819114	    0.180886	1	     0.98536	   0.0146398	    0.818713	    0.181287
15	-1.51640119794832	2.0933380205454	2	3	141	15	    0.999966	 3.39945e-05	1	    0.998873	  0.00112706	1	    0.998873	  0.00112654	    0.983469	   0.0165306
15	1.0058510590618	-1.0239217872704	1	3	142	15	    0.999966	 3.39945e-05	1	    0.999569	 0.000431096	1	    0.999569	 0.000430893	    0.993616	  0.00638365
15	0.208557819518274	-0.646094556239633	1	2	143	15	    0.999966	 3.39945e-05	1	     0.99828	  0.00171992	1	    0.998281	  0.00171913	    0.974977	   0.0250232
15	2.7894090208344	1.03798085273766	3	3	144	15	    0.999966	 3.39945e-05	1	   0.0593861	    0.940614	2	    0.059388	    0.940612	  0.00421851	    0.995781
15	0.808596202912545	0.453186219256868	3	3	145	15	    0.999966	 3.39945e-05	1	    0.912055	   0.0879448	1	    0.912072	   0.0879277	    0.410378	    0.589622
15	1.40764898776816	-0.846853528269313	1	3	146	15	    0.999966	 3.39945e-05	1	     0.99872	  0.00128049	1	     0.99872	   0.0012799	    0.981258	   0.0187416
15	0.122498337049965	2.48754573787774	1	3	147	15	    0.999966	 3.39945e-05	1	    0.992437	  0.00756302	1	     0.99244	  0.00755981	    0.898047	    0.101953
15	0.576571519100591	-0.175980123668188	1	3	148	15	    0.999966	 3.39945e-05	1	    0.999485	 0.000514673	1	    0.999486	 0.000514432	    0.992388	  0.00761248
15	1.33299206609541	1.06475795211073	1	3	149	15	    0.999966	 3.39945e-05	1	    0.986513	   0.0134866	1	    0.986519	   0.0134813	    0.830794	    0.169206
15	-1.00071140749413	-1.64784022109364	2	3	150	15	    0.999966	 3.39945e-05	1	    0.999977	 2.25383e-05	1	    0.999977	 2.25276e-05	    0.999664	 0.000335639
16	2.05170685557314	1.74380865350115	1	3	151	16	  0.00407365	    0.995926	2	    0.289494	    0.710506	2	    0.857227	    0.142773	    0.287172	    0.712828
16	0.227875516933133	0.526201193181301	1	3	152	16	  0.00407365	    0.995926	2	    0.990817	  0.00918253	1	    0.999376	 0.000623839	    0.990782	  0.00921754
16	2.27165895228881	0.301982465818738	3	3	153	16	  0.00407365	    0.995926	2	   0.0358967	    0.964103	2	    0.348301	    0.651699	   0.0346189	    0.965381
16	3.65610526949123	1.40256198392572	2	1	154	16	  0.00407365	    0.995926	2	 2.48672e-05	    0.999975	2	 0.000350638	    0.999649	 2.35347e-05	    0.999976
16	2.73295832034781	0.805339981714992	3	2	155	16	  0.00407365	    0.995926	2	 0.000518592	    0.999481	2	  0.00726787	    0.992732	 0.000490986	    0.999509
16	1.64317560154168	-0.243098496538202	3	1	156	16	  0.00407365	    0.995926	2	  0.00301674	    0.996983	2	   0.0410127	    0.958987	  0.00286133	    0.997139
16	0.732514557597854	1.8456653631427	3	1	157	16	  0.00407365	    0.995926	2	  0.00126387	    0.998736	2	   0.0175513	    0.982449	  0.00119725	    0.998803
16	2.88291942407565	2.22079866704466	3	1	158	16	  0.00407365	    0.995926	2	 6.91181e-06	    0.999993	2	 9.74813e-05	    0.999903	 6.54135e-06	    0.999993
16	2.74616460464519	1.67875857545591	3	1	159	16	  0.00407365	    0.995926	2	 2.01034e-05	     0.99998	2	 0.000283483	    0.999717	 1.90261e-05	    0.999981
16	0.111605808257587	-1.83477804485053	3	3	160	16	  0.00407365	    0.995926	2	    0.982991	   0.0170085	1	    0.998836	  0.00116412	    0.982927	   0.0170733
17	2.2894162219366	1.69601898823448	3	1	161	17	    0.940142	   0.0598581	1	  0.00071569	    0.999284	2	 0.000758017	    0.999242	  5.0897e-05	    0.999949
17	2.33326732998017	-1.80206941419523	1	2	162	17	    0.940142	   0.0598581	1	    0.942719	   0.0572809	1	    0.962472	   0.0375275	    0.632469	    0.367531
17	-0.0556724523753107	-0.349093120764078	1	3	163	17	    0.940142	   0.0598581	1	    0.999802	  0.00019804	1	    0.999892	 0.000108165	     0.99839	  0.00160964
17	4.07262313832574	0.843651248792564	3	3	164	17	    0.940142	   0.0598581	1	   0.0043277	    0.995672	2	  0.00458358	    0.995416	 0.000308868	    0.999691
